Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Urshifu Single Strike Style,LV5.5,5,15,15,520
Urshifu Single Strike Style,LV5.5,6,13,15,520
Urshifu Single Strike Style,LV5.5,6,14,14,520
Urshifu Single Strike Style,LV5.5,6,15,13,520
Urshifu Single Strike Style,LV5.5,7,12,15,520
Urshifu Single Strike Style,LV5.5,7,13,14,520
Urshifu Single Strike Style,LV5.5,7,14,12,520
Urshifu Single Strike Style,LV5.5,7,15,11,520
Urshifu Single Strike Style,LV5.5,8,11,14,520
Urshifu Single Strike Style,LV5.5,8,12,13,520
Urshifu Single Strike Style,LV5.5,8,13,12,520
Urshifu Single Strike Style,LV5.5,8,15,9,520
Urshifu Single Strike Style,LV5.5,9,9,15,520
Urshifu Single Strike Style,LV5.5,9,10,14,520
Urshifu Single Strike Style,LV5.5,9,11,12,520
Urshifu Single Strike Style,LV5.5,9,12,11,520
Urshifu Single Strike Style,LV5.5,9,13,10,520
Urshifu Single Strike Style,LV5.5,9,14,9,520
Urshifu Single Strike Style,LV5.5,10,9,13,520
Urshifu Single Strike Style,LV5.5,10,10,12,520
Urshifu Single Strike Style,LV5.5,10,11,11,520
Urshifu Single Strike Style,LV5.5,10,12,9,520
Urshifu Single Strike Style,LV5.5,10,13,8,520
Urshifu Single Strike Style,LV5.5,10,14,7,520
Urshifu Single Strike Style,LV5.5,10,15,6,520
Urshifu Single Strike Style,LV5.5,11,6,15,520
Urshifu Single Strike Style,LV5.5,11,7,14,520
Urshifu Single Strike Style,LV5.5,11,8,13,520
Urshifu Single Strike Style,LV5.5,11,9,11,520
Urshifu Single Strike Style,LV5.5,11,10,10,520
Urshifu Single Strike Style,LV5.5,11,11,9,520
Urshifu Single Strike Style,LV5.5,11,12,8,520
Urshifu Single Strike Style,LV5.5,11,13,6,520
Urshifu Single Strike Style,LV5.5,11,14,5,520
Urshifu Single Strike Style,LV5.5,11,15,4,520
Urshifu Single Strike Style,LV5.5,12,5,15,520
Urshifu Single Strike Style,LV5.5,12,7,12,520
Urshifu Single Strike Style,LV5.5,12,8,11,520
Urshifu Single Strike Style,LV5.5,12,9,10,520
Urshifu Single Strike Style,LV5.5,12,10,8,520
Urshifu Single Strike Style,LV5.5,12,11,7,520
Urshifu Single Strike Style,LV5.5,12,12,6,520
Urshifu Single Strike Style,LV5.5,12,13,5,520
Urshifu Single Strike Style,LV5.5,12,15,2,520
Urshifu Single Strike Style,LV5.5,13,4,14,520
Urshifu Single Strike Style,LV5.5,13,5,13,520
Urshifu Single Strike Style,LV5.5,13,6,12,520
Urshifu Single Strike Style,LV5.5,13,7,10,520
Urshifu Single Strike Style,LV5.5,13,8,9,520
Urshifu Single Strike Style,LV5.5,13,9,8,520
Urshifu Single Strike Style,LV5.5,13,10,7,520
Urshifu Single Strike Style,LV5.5,13,11,5,520
Urshifu Single Strike Style,LV5.5,13,12,4,520
Urshifu Single Strike Style,LV5.5,13,13,3,520
Urshifu Single Strike Style,LV5.5,13,14,2,520
Urshifu Single Strike Style,LV5.5,13,15,1,520
Urshifu Single Strike Style,LV5.5,14,2,15,520
Urshifu Single Strike Style,LV5.5,14,3,14,520
Urshifu Single Strike Style,LV5.5,14,5,11,520
Urshifu Single Strike Style,LV5.5,14,6,10,520
Urshifu Single Strike Style,LV5.5,14,7,9,520
Urshifu Single Strike Style,LV5.5,14,8,7,520
Urshifu Single Strike Style,LV5.5,14,9,6,520
Urshifu Single Strike Style,LV5.5,14,10,5,520
Urshifu Single Strike Style,LV5.5,14,11,4,520
Urshifu Single Strike Style,LV5.5,14,13,1,520
Urshifu Single Strike Style,LV5.5,14,14,0,520
Urshifu Single Strike Style,LV5.5,15,1,15,520
Urshifu Single Strike Style,LV5.5,15,2,13,520
Urshifu Single Strike Style,LV5.5,15,3,12,520
Urshifu Single Strike Style,LV5.5,15,4,11,520
Urshifu Single Strike Style,LV5.5,15,6,8,520
Urshifu Single Strike Style,LV5.5,15,7,7,520
Urshifu Single Strike Style,LV5.5,15,8,6,520
Urshifu Single Strike Style,LV5.5,15,9,4,520
Urshifu Single Strike Style,LV5.5,15,10,3,520
Urshifu Single Strike Style,LV5.5,15,11,2,520
Urshifu Single Strike Style,LV5.5,15,12,1,520
Urshifu Single Strike Style,LV5.5,15,13,0,520
