Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Vanillish,LV13.5,0,1,8,520
Vanillish,LV13.5,0,2,7,520
Vanillish,LV13.5,0,3,6,520
Vanillish,LV13.5,0,4,5,520
Vanillish,LV13.5,0,5,4,520
Vanillish,LV13.5,0,6,3,520
Vanillish,LV13,0,6,14,520
Vanillish,LV13.5,0,7,2,520
Vanillish,LV13,0,7,13,520
Vanillish,LV13.5,0,8,1,520
Vanillish,LV13,0,8,12,520
Vanillish,LV13.5,0,9,0,520
Vanillish,LV13,0,9,11,520
Vanillish,LV13,0,10,10,520
Vanillish,LV13,0,11,9,520
Vanillish,LV13,0,12,8,520
Vanillish,LV13,0,13,7,520
Vanillish,LV13,0,14,6,520
Vanillish,LV13,0,15,5,520
Vanillish,LV13.5,1,3,4,520
Vanillish,LV13.5,1,4,3,520
Vanillish,LV13.5,1,5,2,520
Vanillish,LV13,1,6,12,520
Vanillish,LV13,1,7,11,520
Vanillish,LV13,1,8,10,520
Vanillish,LV13,1,9,9,520
Vanillish,LV13,1,10,8,520
Vanillish,LV13,1,11,7,520
Vanillish,LV13,1,12,6,520
Vanillish,LV13,1,13,5,520
Vanillish,LV12.5,1,15,15,520
Vanillish,LV13,2,7,9,520
Vanillish,LV13,2,8,8,520
Vanillish,LV13,2,9,7,520
Vanillish,LV13,2,10,6,520
Vanillish,LV12.5,2,13,15,520
Vanillish,LV12.5,2,14,14,520
Vanillish,LV12.5,2,15,13,520
Vanillish,LV13,3,0,15,520
Vanillish,LV12.5,3,11,15,520
Vanillish,LV12.5,3,12,14,520
Vanillish,LV12.5,3,13,13,520
Vanillish,LV12.5,3,14,12,520
Vanillish,LV12.5,3,15,11,520
Vanillish,LV13.5,4,0,2,520
Vanillish,LV13,4,0,13,520
Vanillish,LV13.5,4,1,1,520
Vanillish,LV13.5,4,2,0,520
Vanillish,LV12.5,4,9,15,520
Vanillish,LV12.5,4,10,14,520
Vanillish,LV12.5,4,11,13,520
Vanillish,LV12.5,4,12,12,520
Vanillish,LV12.5,4,13,11,520
Vanillish,LV12.5,4,14,10,520
Vanillish,LV12.5,4,15,9,520
Vanillish,LV13.5,5,0,0,520
Vanillish,LV13,5,0,11,520
Vanillish,LV13,5,1,10,520
Vanillish,LV12.5,5,7,15,520
Vanillish,LV12.5,5,8,14,520
Vanillish,LV12.5,5,9,13,520
Vanillish,LV12.5,5,10,12,520
Vanillish,LV13,5,11,0,520
Vanillish,LV12.5,5,11,11,520
Vanillish,LV12.5,5,12,10,520
Vanillish,LV12.5,5,13,9,520
Vanillish,LV12.5,5,14,8,520
Vanillish,LV12.5,5,15,7,520
Vanillish,LV13,6,0,9,520
Vanillish,LV13,6,1,8,520
Vanillish,LV13,6,2,7,520
Vanillish,LV13,6,3,6,520
Vanillish,LV13,6,4,5,520
Vanillish,LV13,6,5,4,520
Vanillish,LV13,6,6,3,520
Vanillish,LV13,6,7,2,520
Vanillish,LV12.5,6,7,13,520
Vanillish,LV13,6,8,1,520
Vanillish,LV12.5,6,8,12,520
Vanillish,LV13,6,9,0,520
Vanillish,LV12.5,6,9,11,520
Vanillish,LV12.5,6,10,10,520
Vanillish,LV12.5,6,11,9,520
Vanillish,LV12.5,6,12,8,520
Vanillish,LV12.5,6,13,7,520
Vanillish,LV12.5,6,14,6,520
Vanillish,LV13,7,0,7,520
Vanillish,LV13,7,1,6,520
Vanillish,LV13,7,2,5,520
Vanillish,LV13,7,3,4,520
Vanillish,LV13,7,4,3,520
Vanillish,LV13,7,5,2,520
Vanillish,LV13,7,6,1,520
Vanillish,LV13,7,7,0,520
Vanillish,LV13,8,0,5,520
Vanillish,LV13,8,1,4,520
Vanillish,LV13,8,2,3,520
Vanillish,LV12.5,8,2,15,520
Vanillish,LV13,8,3,2,520
Vanillish,LV13,8,4,1,520
Vanillish,LV13,8,5,0,520
Vanillish,LV12.5,9,0,15,520
Vanillish,LV12.5,9,1,14,520
Vanillish,LV12.5,9,2,13,520
Vanillish,LV12.5,9,3,12,520
Vanillish,LV12.5,9,4,11,520
Vanillish,LV12.5,9,12,3,520
Vanillish,LV12,9,12,15,520
Vanillish,LV12.5,9,13,2,520
Vanillish,LV12,9,13,14,520
Vanillish,LV12.5,9,14,1,520
Vanillish,LV12,9,14,13,520
Vanillish,LV12.5,9,15,0,520
Vanillish,LV12,9,15,12,520
Vanillish,LV12.5,10,0,13,520
Vanillish,LV12.5,10,1,12,520
Vanillish,LV12.5,10,2,11,520
Vanillish,LV12.5,10,3,10,520
Vanillish,LV12.5,10,4,9,520
Vanillish,LV12.5,10,5,8,520
Vanillish,LV12.5,10,6,7,520
Vanillish,LV12.5,10,7,6,520
Vanillish,LV12.5,10,8,5,520
Vanillish,LV12.5,10,9,4,520
Vanillish,LV12.5,10,10,3,520
Vanillish,LV12,10,10,15,520
Vanillish,LV12.5,10,11,2,520
Vanillish,LV12,10,11,14,520
Vanillish,LV12.5,10,12,1,520
Vanillish,LV12,10,12,13,520
Vanillish,LV12.5,10,13,0,520
Vanillish,LV12,10,13,12,520
Vanillish,LV12,10,14,11,520
Vanillish,LV12,10,15,10,520
Vanillish,LV13,11,0,0,520
Vanillish,LV12.5,11,1,10,520
Vanillish,LV12.5,11,2,9,520
Vanillish,LV12.5,11,3,8,520
Vanillish,LV12.5,11,4,7,520
Vanillish,LV12.5,11,5,6,520
Vanillish,LV12.5,11,6,5,520
Vanillish,LV12.5,11,7,4,520
Vanillish,LV12.5,11,8,3,520
Vanillish,LV12,11,8,15,520
Vanillish,LV12.5,11,9,2,520
Vanillish,LV12,11,9,14,520
Vanillish,LV12.5,11,10,1,520
Vanillish,LV12,11,10,13,520
Vanillish,LV12.5,11,11,0,520
Vanillish,LV12,11,11,12,520
Vanillish,LV12,11,12,11,520
Vanillish,LV12,11,13,10,520
Vanillish,LV12,11,14,9,520
Vanillish,LV12,11,15,8,520
Vanillish,LV12.5,12,4,5,520
Vanillish,LV12.5,12,5,4,520
Vanillish,LV12.5,12,6,3,520
Vanillish,LV12,12,8,13,520
Vanillish,LV12,12,9,12,520
Vanillish,LV12,12,10,11,520
Vanillish,LV12,12,11,10,520
Vanillish,LV12,12,12,9,520
Vanillish,LV12,12,13,8,520
Vanillish,LV12,12,14,7,520
Vanillish,LV12.5,14,0,6,520
Vanillish,LV12.5,14,1,5,520
Vanillish,LV12.5,14,2,4,520
Vanillish,LV12.5,14,3,3,520
Vanillish,LV12,14,3,15,520
Vanillish,LV12.5,14,4,2,520
Vanillish,LV12,14,4,14,520
Vanillish,LV12.5,14,5,1,520
Vanillish,LV12.5,14,6,0,520
Vanillish,LV12,14,15,3,520
