Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Vanilluxe,LV7.5,0,4,2,520
Vanilluxe,LV7.5,0,5,1,520
Vanilluxe,LV7.5,0,6,0,520
Vanilluxe,LV7.5,1,0,4,520
Vanilluxe,LV7.5,1,1,3,520
Vanilluxe,LV7.5,1,2,2,520
Vanilluxe,LV7.5,1,3,1,520
Vanilluxe,LV7.5,1,4,0,520
Vanilluxe,LV7.5,2,0,2,520
Vanilluxe,LV7.5,2,1,1,520
Vanilluxe,LV7,2,15,15,520
Vanilluxe,LV7.5,3,0,1,520
Vanilluxe,LV7.5,3,1,0,520
Vanilluxe,LV7,3,13,15,520
Vanilluxe,LV7,4,14,13,520
Vanilluxe,LV7,4,15,12,520
Vanilluxe,LV7,5,10,15,520
Vanilluxe,LV7,5,11,14,520
Vanilluxe,LV7,5,12,13,520
Vanilluxe,LV7,5,13,12,520
Vanilluxe,LV7,5,14,11,520
Vanilluxe,LV7,5,15,10,520
Vanilluxe,LV7,6,8,15,520
Vanilluxe,LV7,6,9,14,520
Vanilluxe,LV7,6,10,13,520
Vanilluxe,LV7,6,11,12,520
Vanilluxe,LV7,6,12,11,520
Vanilluxe,LV7,6,13,10,520
Vanilluxe,LV7,7,13,9,520
Vanilluxe,LV7,7,14,8,520
Vanilluxe,LV7,7,15,7,520
Vanilluxe,LV7,8,5,15,520
Vanilluxe,LV7,8,6,14,520
Vanilluxe,LV7,8,7,13,520
Vanilluxe,LV7,8,8,12,520
Vanilluxe,LV7,8,9,11,520
Vanilluxe,LV7,8,10,10,520
Vanilluxe,LV7,8,11,9,520
Vanilluxe,LV7,8,12,8,520
Vanilluxe,LV7,8,13,7,520
Vanilluxe,LV7,8,14,6,520
Vanilluxe,LV7,8,15,5,520
Vanilluxe,LV7,9,3,15,520
Vanilluxe,LV7,9,4,14,520
Vanilluxe,LV7,9,5,13,520
Vanilluxe,LV7,9,6,12,520
Vanilluxe,LV7,9,7,11,520
Vanilluxe,LV7,9,8,10,520
Vanilluxe,LV7,9,9,9,520
Vanilluxe,LV7,9,10,8,520
Vanilluxe,LV7,9,11,7,520
Vanilluxe,LV7,10,11,6,520
Vanilluxe,LV7,10,12,5,520
Vanilluxe,LV7,10,13,4,520
Vanilluxe,LV7,10,14,3,520
Vanilluxe,LV7,10,15,2,520
Vanilluxe,LV7,11,0,15,520
Vanilluxe,LV7,11,1,14,520
Vanilluxe,LV7,11,2,13,520
Vanilluxe,LV7,11,3,12,520
Vanilluxe,LV7,11,4,11,520
Vanilluxe,LV7,11,5,10,520
Vanilluxe,LV7,11,6,9,520
Vanilluxe,LV7,11,7,8,520
Vanilluxe,LV7,11,8,7,520
Vanilluxe,LV7,11,9,6,520
Vanilluxe,LV7,11,10,5,520
Vanilluxe,LV7,11,11,4,520
Vanilluxe,LV7,11,12,3,520
Vanilluxe,LV7,11,13,2,520
Vanilluxe,LV7,12,0,13,520
Vanilluxe,LV7,12,1,12,520
Vanilluxe,LV7,12,2,11,520
Vanilluxe,LV7,12,3,10,520
Vanilluxe,LV7,12,4,9,520
Vanilluxe,LV7,12,5,8,520
Vanilluxe,LV7,12,6,7,520
Vanilluxe,LV7,12,7,6,520
Vanilluxe,LV7,12,12,2,520
Vanilluxe,LV7,12,13,1,520
Vanilluxe,LV7,12,14,0,520
Vanilluxe,LV7,13,6,6,520
Vanilluxe,LV7,13,7,5,520
Vanilluxe,LV7,13,8,4,520
Vanilluxe,LV7,13,9,3,520
Vanilluxe,LV7,13,10,2,520
Vanilluxe,LV7,13,11,1,520
Vanilluxe,LV7,13,12,0,520
Vanilluxe,LV7,14,0,10,520
Vanilluxe,LV7,14,1,9,520
Vanilluxe,LV7,14,2,8,520
Vanilluxe,LV7,14,3,7,520
Vanilluxe,LV7,14,4,6,520
Vanilluxe,LV7,14,5,5,520
Vanilluxe,LV7,14,6,4,520
Vanilluxe,LV7,14,7,3,520
Vanilluxe,LV7,14,8,2,520
Vanilluxe,LV7,15,7,2,520
Vanilluxe,LV7,15,8,1,520
Vanilluxe,LV7,15,9,0,520
