Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Vaporeon,LV6.5,0,14,14,520
Vaporeon,LV6.5,0,15,12,520
Vaporeon,LV6.5,1,12,14,520
Vaporeon,LV6.5,1,12,15,520
Vaporeon,LV6.5,1,13,13,520
Vaporeon,LV6.5,1,14,11,520
Vaporeon,LV6.5,1,15,9,520
Vaporeon,LV6.5,1,15,10,520
Vaporeon,LV6.5,2,10,15,520
Vaporeon,LV6.5,2,11,13,520
Vaporeon,LV6.5,2,12,12,520
Vaporeon,LV6.5,2,13,10,520
Vaporeon,LV6.5,2,14,8,520
Vaporeon,LV6.5,2,15,7,520
Vaporeon,LV6.5,3,9,14,520
Vaporeon,LV6.5,3,10,12,520
Vaporeon,LV6.5,3,11,10,520
Vaporeon,LV6.5,3,11,11,520
Vaporeon,LV6.5,3,12,9,520
Vaporeon,LV6.5,3,13,7,520
Vaporeon,LV6.5,3,14,6,520
Vaporeon,LV6.5,3,15,4,520
Vaporeon,LV6.5,4,7,15,520
Vaporeon,LV6.5,4,8,13,520
Vaporeon,LV6.5,4,9,11,520
Vaporeon,LV6.5,4,10,9,520
Vaporeon,LV6.5,4,10,10,520
Vaporeon,LV6.5,4,11,8,520
Vaporeon,LV6.5,4,12,6,520
Vaporeon,LV6.5,4,13,4,520
Vaporeon,LV6.5,4,13,5,520
Vaporeon,LV6.5,4,14,3,520
Vaporeon,LV6.5,4,15,1,520
Vaporeon,LV6.5,5,5,15,520
Vaporeon,LV6.5,5,6,13,520
Vaporeon,LV6.5,5,6,14,520
Vaporeon,LV6.5,5,7,12,520
Vaporeon,LV6.5,5,8,10,520
Vaporeon,LV6.5,5,9,8,520
Vaporeon,LV6.5,5,10,7,520
Vaporeon,LV6.5,5,11,5,520
Vaporeon,LV6.5,5,12,3,520
Vaporeon,LV6.5,5,13,2,520
Vaporeon,LV6.5,5,14,0,520
Vaporeon,LV6.5,6,4,14,520
Vaporeon,LV6.5,6,5,12,520
Vaporeon,LV6.5,6,5,13,520
Vaporeon,LV6.5,6,6,11,520
Vaporeon,LV6.5,6,7,9,520
Vaporeon,LV6.5,6,8,7,520
Vaporeon,LV6.5,6,9,6,520
Vaporeon,LV6.5,6,10,4,520
Vaporeon,LV6.5,6,11,2,520
Vaporeon,LV6.5,6,12,1,520
Vaporeon,LV6.5,7,2,15,520
Vaporeon,LV6.5,7,3,13,520
Vaporeon,LV6.5,7,4,11,520
Vaporeon,LV6.5,7,4,12,520
Vaporeon,LV6.5,7,5,10,520
Vaporeon,LV6.5,7,6,8,520
Vaporeon,LV6.5,7,7,6,520
Vaporeon,LV6.5,7,8,5,520
Vaporeon,LV6.5,7,9,3,520
Vaporeon,LV6.5,7,10,1,520
Vaporeon,LV6.5,7,11,0,520
Vaporeon,LV6.5,8,1,14,520
Vaporeon,LV6.5,8,2,12,520
Vaporeon,LV6.5,8,3,11,520
Vaporeon,LV6.5,8,4,9,520
Vaporeon,LV6.5,8,5,7,520
Vaporeon,LV6.5,8,6,5,520
Vaporeon,LV6.5,8,7,4,520
Vaporeon,LV6.5,8,8,2,520
Vaporeon,LV6.5,8,9,0,520
Vaporeon,LV6.5,9,0,13,520
Vaporeon,LV6.5,9,1,11,520
Vaporeon,LV6.5,9,2,10,520
Vaporeon,LV6.5,9,3,8,520
Vaporeon,LV6.5,9,4,6,520
Vaporeon,LV6.5,9,5,4,520
Vaporeon,LV6.5,9,5,5,520
Vaporeon,LV6.5,9,6,3,520
Vaporeon,LV6.5,9,7,1,520
Vaporeon,LV6.5,10,0,10,520
Vaporeon,LV6.5,10,0,11,520
Vaporeon,LV6.5,10,1,9,520
Vaporeon,LV6.5,10,2,7,520
Vaporeon,LV6.5,10,3,5,520
Vaporeon,LV6.5,10,4,4,520
Vaporeon,LV6.5,10,5,2,520
Vaporeon,LV6.5,10,6,0,520
Vaporeon,LV6.5,11,0,8,520
Vaporeon,LV6.5,11,1,6,520
Vaporeon,LV6.5,11,2,4,520
Vaporeon,LV6.5,11,3,3,520
Vaporeon,LV6.5,11,4,1,520
Vaporeon,LV6.5,12,0,5,520
Vaporeon,LV6.5,12,1,3,520
Vaporeon,LV6.5,12,1,4,520
Vaporeon,LV6.5,12,2,2,520
Vaporeon,LV6.5,12,3,0,520
Vaporeon,LV6.5,13,0,3,520
Vaporeon,LV6.5,13,1,1,520
Vaporeon,LV6.5,14,0,0,520
