Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Vespiquen,LV10.5,0,0,11,520
Vespiquen,LV10.5,0,1,10,520
Vespiquen,LV10.5,0,2,9,520
Vespiquen,LV10.5,0,3,8,520
Vespiquen,LV10.5,0,4,7,520
Vespiquen,LV10.5,0,5,6,520
Vespiquen,LV10.5,0,6,5,520
Vespiquen,LV10.5,0,7,4,520
Vespiquen,LV10.5,0,10,2,520
Vespiquen,LV10.5,0,11,1,520
Vespiquen,LV10.5,0,12,0,520
Vespiquen,LV10,0,15,15,520
Vespiquen,LV10.5,1,4,5,520
Vespiquen,LV10.5,1,5,4,520
Vespiquen,LV10.5,1,6,3,520
Vespiquen,LV10.5,1,7,2,520
Vespiquen,LV10.5,1,8,1,520
Vespiquen,LV10.5,1,9,0,520
Vespiquen,LV10,1,12,15,520
Vespiquen,LV10,1,13,14,520
Vespiquen,LV10,1,14,13,520
Vespiquen,LV10,1,15,12,520
Vespiquen,LV10.5,2,0,6,520
Vespiquen,LV10.5,2,1,5,520
Vespiquen,LV10.5,2,2,4,520
Vespiquen,LV10.5,2,3,3,520
Vespiquen,LV10.5,2,7,0,520
Vespiquen,LV10,2,13,12,520
Vespiquen,LV10,2,14,11,520
Vespiquen,LV10,2,15,10,520
Vespiquen,LV10.5,3,0,4,520
Vespiquen,LV10.5,3,1,3,520
Vespiquen,LV10.5,3,2,2,520
Vespiquen,LV10.5,3,3,1,520
Vespiquen,LV10.5,3,4,0,520
Vespiquen,LV10,3,7,15,520
Vespiquen,LV10,3,8,14,520
Vespiquen,LV10,3,9,13,520
Vespiquen,LV10,3,10,12,520
Vespiquen,LV10,3,11,11,520
Vespiquen,LV10,3,12,10,520
Vespiquen,LV10,3,13,9,520
Vespiquen,LV10,4,4,15,520
Vespiquen,LV10,4,5,14,520
Vespiquen,LV10,4,6,13,520
Vespiquen,LV10,4,11,9,520
Vespiquen,LV10,4,12,8,520
Vespiquen,LV10,4,13,7,520
Vespiquen,LV10,4,14,6,520
Vespiquen,LV10,4,15,5,520
Vespiquen,LV10,5,2,15,520
Vespiquen,LV10,5,3,14,520
Vespiquen,LV10,5,4,13,520
Vespiquen,LV10,5,5,12,520
Vespiquen,LV10,5,6,11,520
Vespiquen,LV10,5,7,10,520
Vespiquen,LV10,5,8,9,520
Vespiquen,LV10,5,9,8,520
Vespiquen,LV10,5,10,7,520
Vespiquen,LV10,5,14,4,520
Vespiquen,LV10,5,15,3,520
Vespiquen,LV10,6,0,14,520
Vespiquen,LV10,6,1,13,520
Vespiquen,LV10,6,2,12,520
Vespiquen,LV10,6,8,7,520
Vespiquen,LV10,6,9,6,520
Vespiquen,LV10,6,10,5,520
Vespiquen,LV10,6,11,4,520
Vespiquen,LV10,6,12,3,520
Vespiquen,LV10,6,13,2,520
Vespiquen,LV10,7,0,12,520
Vespiquen,LV10,7,1,11,520
Vespiquen,LV10,7,2,10,520
Vespiquen,LV10,7,3,9,520
Vespiquen,LV10,7,4,8,520
Vespiquen,LV10,7,5,7,520
Vespiquen,LV10,7,6,6,520
Vespiquen,LV10,7,10,3,520
Vespiquen,LV10,7,11,2,520
Vespiquen,LV10,7,12,1,520
Vespiquen,LV10,7,13,0,520
Vespiquen,LV10,8,3,7,520
Vespiquen,LV10,8,4,6,520
Vespiquen,LV10,8,5,5,520
Vespiquen,LV10,8,6,4,520
Vespiquen,LV10,8,7,3,520
Vespiquen,LV10,8,8,2,520
Vespiquen,LV10,9,0,7,520
Vespiquen,LV10,9,1,6,520
Vespiquen,LV10,9,6,2,520
Vespiquen,LV10,9,7,1,520
Vespiquen,LV10,9,8,0,520
Vespiquen,LV9.5,9,13,15,520
Vespiquen,LV9.5,9,14,14,520
Vespiquen,LV9.5,9,15,13,520
Vespiquen,LV10,10,0,5,520
Vespiquen,LV10,10,1,4,520
Vespiquen,LV10,10,2,3,520
Vespiquen,LV10,10,3,2,520
Vespiquen,LV9.5,10,13,13,520
Vespiquen,LV9.5,10,14,12,520
Vespiquen,LV9.5,10,15,11,520
Vespiquen,LV10,11,0,3,520
Vespiquen,LV10,11,1,2,520
Vespiquen,LV10,11,2,1,520
Vespiquen,LV10,11,3,0,520
Vespiquen,LV9.5,11,8,15,520
Vespiquen,LV9.5,11,9,14,520
Vespiquen,LV9.5,11,10,13,520
Vespiquen,LV9.5,11,11,12,520
Vespiquen,LV9.5,11,12,11,520
Vespiquen,LV10,12,1,0,520
Vespiquen,LV9.5,12,8,13,520
Vespiquen,LV9.5,12,9,12,520
Vespiquen,LV9.5,12,10,11,520
Vespiquen,LV9.5,12,11,10,520
Vespiquen,LV9.5,12,12,9,520
Vespiquen,LV9.5,12,13,8,520
Vespiquen,LV9.5,12,14,7,520
Vespiquen,LV9.5,12,15,6,520
Vespiquen,LV9.5,13,3,15,520
Vespiquen,LV9.5,13,4,14,520
Vespiquen,LV9.5,13,5,13,520
Vespiquen,LV9.5,13,6,12,520
Vespiquen,LV9.5,13,7,11,520
Vespiquen,LV9.5,13,12,7,520
Vespiquen,LV9.5,13,13,6,520
Vespiquen,LV9.5,13,14,5,520
Vespiquen,LV9.5,13,15,4,520
Vespiquen,LV9.5,14,1,15,520
Vespiquen,LV9.5,14,2,14,520
Vespiquen,LV9.5,14,3,13,520
Vespiquen,LV9.5,14,4,12,520
Vespiquen,LV9.5,14,5,11,520
Vespiquen,LV9.5,14,6,10,520
Vespiquen,LV9.5,14,7,9,520
Vespiquen,LV9.5,14,8,8,520
Vespiquen,LV9.5,14,9,7,520
Vespiquen,LV9.5,14,10,6,520
Vespiquen,LV9.5,14,13,4,520
Vespiquen,LV9.5,14,14,3,520
Vespiquen,LV9.5,14,15,2,520
Vespiquen,LV9.5,15,5,9,520
Vespiquen,LV9.5,15,6,8,520
Vespiquen,LV9.5,15,7,7,520
Vespiquen,LV9.5,15,8,6,520
Vespiquen,LV9.5,15,9,5,520
Vespiquen,LV9.5,15,10,4,520
Vespiquen,LV9.5,15,11,3,520
Vespiquen,LV9.5,15,14,1,520
