Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Vibrava,LV18.5,0,0,3,520
Vibrava,LV18,0,1,9,520
Vibrava,LV18.5,0,2,0,520
Vibrava,LV18,0,2,8,520
Vibrava,LV18,0,4,5,520
Vibrava,LV17.5,0,4,13,520
Vibrava,LV17.5,0,5,12,520
Vibrava,LV18,0,7,1,520
Vibrava,LV17.5,0,7,9,520
Vibrava,LV17.5,0,9,6,520
Vibrava,LV17,0,9,15,520
Vibrava,LV17.5,0,10,5,520
Vibrava,LV17,0,11,12,520
Vibrava,LV17.5,0,13,1,520
Vibrava,LV17.5,0,14,0,520
Vibrava,LV17,0,14,8,520
Vibrava,LV17,0,15,7,520
Vibrava,LV18.5,1,0,1,520
Vibrava,LV18,1,1,7,520
Vibrava,LV17.5,1,2,14,520
Vibrava,LV18,1,3,4,520
Vibrava,LV18,1,4,3,520
Vibrava,LV17.5,1,4,11,520
Vibrava,LV18,1,6,0,520
Vibrava,LV17.5,1,6,8,520
Vibrava,LV17.5,1,7,7,520
Vibrava,LV17,1,8,14,520
Vibrava,LV17.5,1,9,4,520
Vibrava,LV17.5,1,10,3,520
Vibrava,LV17,1,10,11,520
Vibrava,LV17,1,11,10,520
Vibrava,LV17,1,13,7,520
Vibrava,LV17,1,14,6,520
Vibrava,LV16.5,1,14,15,520
Vibrava,LV18,2,1,5,520
Vibrava,LV17.5,2,1,13,520
Vibrava,LV18,2,3,2,520
Vibrava,LV17.5,2,3,10,520
Vibrava,LV18,2,4,1,520
Vibrava,LV17.5,2,4,9,520
Vibrava,LV17.5,2,6,6,520
Vibrava,LV17,2,7,13,520
Vibrava,LV17,2,8,12,520
Vibrava,LV17.5,2,9,2,520
Vibrava,LV17.5,2,10,1,520
Vibrava,LV17,2,10,9,520
Vibrava,LV16.5,2,12,15,520
Vibrava,LV17,2,13,5,520
Vibrava,LV16.5,2,13,14,520
Vibrava,LV17,2,14,4,520
Vibrava,LV16.5,2,15,11,520
Vibrava,LV18,3,1,3,520
Vibrava,LV17.5,3,1,11,520
Vibrava,LV18,3,3,0,520
Vibrava,LV17.5,3,3,8,520
Vibrava,LV17,3,4,15,520
Vibrava,LV17,3,5,14,520
Vibrava,LV17.5,3,6,4,520
Vibrava,LV17,3,7,11,520
Vibrava,LV17.5,3,9,0,520
Vibrava,LV17,3,9,8,520
Vibrava,LV17,3,10,7,520
Vibrava,LV16.5,3,12,13,520
Vibrava,LV17,3,13,3,520
Vibrava,LV17,3,14,2,520
Vibrava,LV16.5,3,15,9,520
Vibrava,LV18,4,1,1,520
Vibrava,LV17.5,4,1,9,520
Vibrava,LV17.5,4,3,6,520
Vibrava,LV17,4,4,13,520
Vibrava,LV17.5,4,5,3,520
Vibrava,LV17.5,4,6,2,520
Vibrava,LV17,4,6,10,520
Vibrava,LV17,4,7,9,520
Vibrava,LV17,4,9,6,520
Vibrava,LV16.5,4,9,15,520
Vibrava,LV17,4,10,5,520
Vibrava,LV16.5,4,11,12,520
Vibrava,LV17,4,12,2,520
Vibrava,LV16.5,4,12,11,520
Vibrava,LV17,4,13,1,520
Vibrava,LV17,4,14,0,520
Vibrava,LV16.5,4,14,8,520
Vibrava,LV16.5,4,15,7,520
Vibrava,LV17.5,5,0,8,520
Vibrava,LV17.5,5,1,7,520
Vibrava,LV17,5,2,14,520
Vibrava,LV17.5,5,3,4,520
Vibrava,LV17,5,4,11,520
Vibrava,LV17.5,5,5,1,520
Vibrava,LV17.5,5,6,0,520
Vibrava,LV17,5,6,8,520
Vibrava,LV17,5,7,7,520
Vibrava,LV16.5,5,8,14,520
Vibrava,LV17,5,9,4,520
Vibrava,LV16.5,5,9,13,520
Vibrava,LV17,5,10,3,520
Vibrava,LV16.5,5,11,10,520
Vibrava,LV17,5,12,0,520
Vibrava,LV16.5,5,14,6,520
Vibrava,LV16,5,14,15,520
Vibrava,LV16.5,5,15,5,520
Vibrava,LV16,5,15,14,520
Vibrava,LV17.5,6,0,6,520
Vibrava,LV17.5,6,1,5,520
Vibrava,LV17,6,1,13,520
Vibrava,LV17.5,6,3,2,520
Vibrava,LV17,6,3,10,520
Vibrava,LV17,6,4,9,520
Vibrava,LV17,6,6,6,520
Vibrava,LV16.5,6,6,15,520
