Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Victreebel,LV8.5,0,3,13,520
Victreebel,LV8.5,0,5,10,520
Victreebel,LV8.5,0,6,9,520
Victreebel,LV8.5,0,7,7,520
Victreebel,LV8.5,0,8,6,520
Victreebel,LV8.5,0,10,3,520
Victreebel,LV8.5,0,11,2,520
Victreebel,LV8.5,1,1,14,520
Victreebel,LV8.5,1,3,11,520
Victreebel,LV8.5,1,4,10,520
Victreebel,LV8.5,1,5,8,520
Victreebel,LV8.5,1,6,7,520
Victreebel,LV8.5,1,8,4,520
Victreebel,LV8.5,1,9,3,520
Victreebel,LV8.5,1,10,1,520
Victreebel,LV8.5,1,11,0,520
Victreebel,LV8.5,2,1,12,520
Victreebel,LV8.5,2,3,9,520
Victreebel,LV8.5,2,4,8,520
Victreebel,LV8.5,2,5,6,520
Victreebel,LV8.5,2,6,5,520
Victreebel,LV8.5,2,8,2,520
Victreebel,LV8.5,2,9,1,520
Victreebel,LV8.5,3,0,12,520
Victreebel,LV8.5,3,1,10,520
Victreebel,LV8.5,3,2,9,520
Victreebel,LV8.5,3,3,7,520
Victreebel,LV8.5,3,4,6,520
Victreebel,LV8.5,3,6,3,520
Victreebel,LV8.5,3,7,2,520
Victreebel,LV8.5,3,8,0,520
Victreebel,LV8.5,4,0,10,520
Victreebel,LV8.5,4,1,8,520
Victreebel,LV8.5,4,2,7,520
Victreebel,LV8.5,4,4,4,520
Victreebel,LV8.5,4,6,1,520
Victreebel,LV8.5,4,7,0,520
Victreebel,LV8,4,15,15,520
Victreebel,LV8.5,5,0,8,520
Victreebel,LV8.5,5,2,5,520
Victreebel,LV8.5,5,4,2,520
Victreebel,LV8.5,5,5,1,520
Victreebel,LV8,5,14,14,520
Victreebel,LV8,5,15,13,520
Victreebel,LV8.5,6,0,6,520
Victreebel,LV8.5,6,2,3,520
Victreebel,LV8.5,6,3,2,520
Victreebel,LV8.5,6,4,0,520
Victreebel,LV8,6,12,15,520
Victreebel,LV8,6,14,12,520
Victreebel,LV8,6,15,11,520
Victreebel,LV8.5,7,0,4,520
Victreebel,LV8.5,7,1,3,520
Victreebel,LV8.5,7,2,1,520
Victreebel,LV8.5,7,3,0,520
Victreebel,LV8,7,11,14,520
Victreebel,LV8,7,12,13,520
Victreebel,LV8,7,13,12,520
Victreebel,LV8,7,14,10,520
Victreebel,LV8,7,15,9,520
Victreebel,LV8.5,8,0,2,520
Victreebel,LV8.5,8,1,1,520
Victreebel,LV8,8,9,15,520
Victreebel,LV8,8,10,14,520
Victreebel,LV8,8,12,11,520
Victreebel,LV8,8,13,10,520
Victreebel,LV8,8,15,7,520
Victreebel,LV8,9,8,15,520
Victreebel,LV8,9,10,12,520
Victreebel,LV8,9,11,11,520
Victreebel,LV8,9,12,9,520
Victreebel,LV8,9,13,8,520
Victreebel,LV8,9,15,5,520
Victreebel,LV8,10,7,14,520
Victreebel,LV8,10,8,13,520
Victreebel,LV8,10,10,10,520
Victreebel,LV8,10,11,9,520
Victreebel,LV8,10,13,6,520
Victreebel,LV8,10,14,5,520
Victreebel,LV8,11,5,15,520
Victreebel,LV8,11,6,14,520
Victreebel,LV8,11,8,11,520
Victreebel,LV8,11,9,10,520
Victreebel,LV8,11,10,8,520
Victreebel,LV8,11,11,7,520
Victreebel,LV8,11,13,4,520
Victreebel,LV8,11,14,3,520
Victreebel,LV8,11,15,2,520
Victreebel,LV8,12,4,15,520
Victreebel,LV8,12,6,12,520
Victreebel,LV8,12,7,11,520
Victreebel,LV8,12,8,9,520
Victreebel,LV8,12,9,8,520
Victreebel,LV8,12,11,5,520
Victreebel,LV8,12,12,4,520
Victreebel,LV8,12,14,1,520
Victreebel,LV8,12,15,0,520
Victreebel,LV8,13,4,13,520
Victreebel,LV8,13,5,12,520
Victreebel,LV8,13,6,10,520
Victreebel,LV8,13,7,9,520
Victreebel,LV8,13,9,6,520
Victreebel,LV8,13,10,5,520
Victreebel,LV8,13,12,2,520
Victreebel,LV8,13,13,1,520
Victreebel,LV8,14,2,14,520
Victreebel,LV8,14,3,13,520
Victreebel,LV8,14,4,11,520
Victreebel,LV8,14,5,10,520
Victreebel,LV8,14,7,7,520
Victreebel,LV8,14,8,6,520
Victreebel,LV8,14,9,4,520
Victreebel,LV8,14,10,3,520
Victreebel,LV8,14,11,2,520
Victreebel,LV8,14,12,0,520
Victreebel,LV8,15,0,15,520
Victreebel,LV8,15,1,14,520
Victreebel,LV8,15,3,11,520
Victreebel,LV8,15,5,8,520
Victreebel,LV8,15,6,7,520
Victreebel,LV8,15,7,5,520
Victreebel,LV8,15,8,4,520
Victreebel,LV8,15,10,1,520
Victreebel,LV8,15,11,0,520
