Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Vikavolt,LV6.5,0,11,12,520
Vikavolt,LV6.5,0,12,11,520
Vikavolt,LV6.5,0,13,10,520
Vikavolt,LV6.5,0,14,9,520
Vikavolt,LV6.5,0,15,8,520
Vikavolt,LV6.5,1,8,14,520
Vikavolt,LV6.5,1,9,13,520
Vikavolt,LV6.5,1,10,12,520
Vikavolt,LV6.5,1,11,11,520
Vikavolt,LV6.5,1,14,7,520
Vikavolt,LV6.5,1,15,6,520
Vikavolt,LV6.5,2,6,15,520
Vikavolt,LV6.5,2,7,14,520
Vikavolt,LV6.5,2,8,13,520
Vikavolt,LV6.5,2,10,10,520
Vikavolt,LV6.5,2,11,9,520
Vikavolt,LV6.5,2,12,8,520
Vikavolt,LV6.5,2,13,7,520
Vikavolt,LV6.5,2,14,6,520
Vikavolt,LV6.5,2,15,5,520
Vikavolt,LV6.5,3,5,15,520
Vikavolt,LV6.5,3,7,12,520
Vikavolt,LV6.5,3,8,11,520
Vikavolt,LV6.5,3,9,10,520
Vikavolt,LV6.5,3,10,9,520
Vikavolt,LV6.5,3,11,8,520
Vikavolt,LV6.5,3,14,4,520
Vikavolt,LV6.5,3,15,3,520
Vikavolt,LV6.5,4,5,13,520
Vikavolt,LV6.5,4,6,12,520
Vikavolt,LV6.5,4,7,11,520
Vikavolt,LV6.5,4,8,10,520
Vikavolt,LV6.5,4,10,7,520
Vikavolt,LV6.5,4,11,6,520
Vikavolt,LV6.5,4,12,5,520
Vikavolt,LV6.5,4,13,4,520
Vikavolt,LV6.5,4,14,3,520
Vikavolt,LV6.5,4,15,2,520
Vikavolt,LV6.5,5,2,15,520
Vikavolt,LV6.5,5,3,14,520
Vikavolt,LV6.5,5,4,13,520
Vikavolt,LV6.5,5,5,12,520
Vikavolt,LV6.5,5,7,9,520
Vikavolt,LV6.5,5,8,8,520
Vikavolt,LV6.5,5,9,7,520
Vikavolt,LV6.5,5,10,6,520
Vikavolt,LV6.5,5,11,5,520
Vikavolt,LV6.5,6,1,15,520
Vikavolt,LV6.5,6,2,14,520
Vikavolt,LV6.5,6,5,10,520
Vikavolt,LV6.5,6,6,9,520
Vikavolt,LV6.5,6,7,8,520
Vikavolt,LV6.5,6,8,7,520
Vikavolt,LV6.5,6,11,3,520
Vikavolt,LV6.5,6,12,2,520
Vikavolt,LV6.5,6,13,1,520
Vikavolt,LV6.5,6,14,0,520
Vikavolt,LV6.5,7,0,15,520
Vikavolt,LV6.5,7,2,12,520
Vikavolt,LV6.5,7,3,11,520
Vikavolt,LV6.5,7,4,10,520
Vikavolt,LV6.5,7,5,9,520
Vikavolt,LV6.5,7,8,5,520
Vikavolt,LV6.5,7,9,4,520
Vikavolt,LV6.5,7,10,3,520
Vikavolt,LV6.5,7,11,2,520
Vikavolt,LV6.5,7,12,1,520
Vikavolt,LV6.5,7,13,0,520
Vikavolt,LV6.5,8,0,13,520
Vikavolt,LV6.5,8,1,12,520
Vikavolt,LV6.5,8,2,11,520
Vikavolt,LV6.5,8,5,7,520
Vikavolt,LV6.5,8,6,6,520
Vikavolt,LV6.5,8,7,5,520
Vikavolt,LV6.5,8,8,4,520
Vikavolt,LV6.5,8,9,3,520
Vikavolt,LV6.5,9,0,12,520
Vikavolt,LV6.5,9,2,9,520
Vikavolt,LV6.5,9,3,8,520
Vikavolt,LV6.5,9,4,7,520
Vikavolt,LV6.5,9,5,6,520
Vikavolt,LV6.5,9,8,2,520
Vikavolt,LV6.5,9,9,1,520
Vikavolt,LV6.5,9,10,0,520
Vikavolt,LV6.5,10,0,10,520
Vikavolt,LV6.5,10,1,9,520
Vikavolt,LV6.5,10,2,8,520
Vikavolt,LV6.5,10,3,7,520
Vikavolt,LV6.5,10,5,4,520
Vikavolt,LV6.5,10,6,3,520
Vikavolt,LV6.5,10,7,2,520
Vikavolt,LV6.5,10,8,1,520
Vikavolt,LV6.5,10,9,0,520
Vikavolt,LV6.5,11,0,9,520
Vikavolt,LV6.5,11,3,5,520
Vikavolt,LV6.5,11,4,4,520
Vikavolt,LV6.5,11,5,3,520
Vikavolt,LV6.5,11,6,2,520
Vikavolt,LV6.5,11,7,1,520
Vikavolt,LV6.5,12,1,6,520
Vikavolt,LV6.5,12,2,5,520
Vikavolt,LV6.5,12,3,4,520
Vikavolt,LV6.5,12,4,3,520
Vikavolt,LV6.5,13,0,6,520
Vikavolt,LV6.5,13,1,5,520
Vikavolt,LV6.5,13,4,1,520
Vikavolt,LV6.5,13,5,0,520
Vikavolt,LV6.5,14,2,2,520
Vikavolt,LV6.5,14,3,1,520
Vikavolt,LV6.5,14,4,0,520
Vikavolt,LV6.5,15,0,3,520
Vikavolt,LV6.5,15,1,2,520
Vikavolt,LV6.5,15,2,1,520
Vikavolt,LV6.5,15,3,0,520
