Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Volcanion,LV5.5,4,14,15,520
Volcanion,LV5.5,4,15,14,520
Volcanion,LV5.5,5,12,15,520
Volcanion,LV5.5,5,13,14,520
Volcanion,LV5.5,5,14,13,520
Volcanion,LV5.5,5,15,12,520
Volcanion,LV5.5,6,10,15,520
Volcanion,LV5.5,6,11,14,520
Volcanion,LV5.5,6,14,12,520
Volcanion,LV5.5,6,15,11,520
Volcanion,LV5.5,7,10,14,520
Volcanion,LV5.5,7,11,13,520
Volcanion,LV5.5,7,12,12,520
Volcanion,LV5.5,7,13,11,520
Volcanion,LV5.5,7,14,10,520
Volcanion,LV5.5,7,15,9,520
Volcanion,LV5.5,8,7,15,520
Volcanion,LV5.5,8,8,14,520
Volcanion,LV5.5,8,9,13,520
Volcanion,LV5.5,8,10,12,520
Volcanion,LV5.5,8,11,11,520
Volcanion,LV5.5,8,12,10,520
Volcanion,LV5.5,8,15,8,520
Volcanion,LV5.5,9,5,15,520
Volcanion,LV5.5,9,6,14,520
Volcanion,LV5.5,9,7,13,520
Volcanion,LV5.5,9,8,12,520
Volcanion,LV5.5,9,11,10,520
Volcanion,LV5.5,9,12,9,520
Volcanion,LV5.5,9,13,8,520
Volcanion,LV5.5,9,14,7,520
Volcanion,LV5.5,9,15,6,520
Volcanion,LV5.5,10,3,15,520
Volcanion,LV5.5,10,6,13,520
Volcanion,LV5.5,10,7,12,520
Volcanion,LV5.5,10,8,11,520
Volcanion,LV5.5,10,9,10,520
Volcanion,LV5.5,10,10,9,520
Volcanion,LV5.5,10,11,8,520
Volcanion,LV5.5,10,12,7,520
Volcanion,LV5.5,10,15,5,520
Volcanion,LV5.5,11,2,15,520
Volcanion,LV5.5,11,3,14,520
Volcanion,LV5.5,11,4,13,520
Volcanion,LV5.5,11,5,12,520
Volcanion,LV5.5,11,6,11,520
Volcanion,LV5.5,11,7,10,520
Volcanion,LV5.5,11,8,9,520
Volcanion,LV5.5,11,11,7,520
Volcanion,LV5.5,11,12,6,520
Volcanion,LV5.5,11,13,5,520
Volcanion,LV5.5,11,14,4,520
Volcanion,LV5.5,11,15,3,520
Volcanion,LV5.5,12,0,15,520
Volcanion,LV5.5,12,1,14,520
Volcanion,LV5.5,12,2,13,520
Volcanion,LV5.5,12,3,12,520
Volcanion,LV5.5,12,4,11,520
Volcanion,LV5.5,12,7,9,520
Volcanion,LV5.5,12,8,8,520
Volcanion,LV5.5,12,9,7,520
Volcanion,LV5.5,12,10,6,520
Volcanion,LV5.5,12,11,5,520
Volcanion,LV5.5,12,12,4,520
Volcanion,LV5.5,12,15,2,520
Volcanion,LV5.5,13,1,13,520
Volcanion,LV5.5,13,2,12,520
Volcanion,LV5.5,13,3,11,520
Volcanion,LV5.5,13,4,10,520
Volcanion,LV5.5,13,5,9,520
Volcanion,LV5.5,13,6,8,520
Volcanion,LV5.5,13,7,7,520
Volcanion,LV5.5,13,8,6,520
Volcanion,LV5.5,13,11,4,520
Volcanion,LV5.5,13,12,3,520
Volcanion,LV5.5,13,13,2,520
Volcanion,LV5.5,13,14,1,520
Volcanion,LV5.5,13,15,0,520
Volcanion,LV5.5,14,0,12,520
Volcanion,LV5.5,14,1,11,520
Volcanion,LV5.5,14,2,10,520
Volcanion,LV5.5,14,3,9,520
Volcanion,LV5.5,14,4,8,520
Volcanion,LV5.5,14,7,6,520
Volcanion,LV5.5,14,8,5,520
Volcanion,LV5.5,14,9,4,520
Volcanion,LV5.5,14,10,3,520
Volcanion,LV5.5,14,11,2,520
Volcanion,LV5.5,14,14,0,520
Volcanion,LV5.5,15,2,9,520
Volcanion,LV5.5,15,3,8,520
Volcanion,LV5.5,15,4,7,520
Volcanion,LV5.5,15,5,6,520
Volcanion,LV5.5,15,6,5,520
Volcanion,LV5.5,15,7,4,520
Volcanion,LV5.5,15,8,3,520
Volcanion,LV5.5,15,10,2,520
Volcanion,LV5.5,15,11,1,520
Volcanion,LV5.5,15,12,0,520
