Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Vullaby,LV17.5,0,0,9,520
Vullaby,LV17.5,0,1,8,520
Vullaby,LV17.5,0,2,7,520
Vullaby,LV17.5,0,4,4,520
Vullaby,LV17,0,4,15,520
Vullaby,LV17.5,0,5,3,520
Vullaby,LV17.5,0,6,2,520
Vullaby,LV17,0,6,12,520
Vullaby,LV17,0,7,11,520
Vullaby,LV17,0,10,7,520
Vullaby,LV17,0,11,6,520
Vullaby,LV17,0,12,5,520
Vullaby,LV16.5,0,14,13,520
Vullaby,LV16.5,0,15,12,520
Vullaby,LV17.5,1,0,6,520
Vullaby,LV17,1,1,15,520
Vullaby,LV17,1,2,14,520
Vullaby,LV17.5,1,3,2,520
Vullaby,LV17.5,1,4,1,520
Vullaby,LV17,1,4,11,520
Vullaby,LV17.5,1,5,0,520
Vullaby,LV17,1,5,10,520
Vullaby,LV17,1,6,9,520
Vullaby,LV17,1,8,6,520
Vullaby,LV17,1,9,5,520
Vullaby,LV17,1,10,4,520
Vullaby,LV16.5,1,10,15,520
Vullaby,LV16.5,1,12,12,520
Vullaby,LV16.5,1,13,11,520
Vullaby,LV16.5,1,14,10,520
Vullaby,LV17,2,0,13,520
Vullaby,LV17.5,2,1,1,520
Vullaby,LV17,2,1,12,520
Vullaby,LV17.5,2,2,0,520
Vullaby,LV17,2,2,10,520
Vullaby,LV17,2,3,9,520
Vullaby,LV17,2,4,8,520
Vullaby,LV17,2,6,5,520
Vullaby,LV17,2,7,4,520
Vullaby,LV16.5,2,7,15,520
Vullaby,LV17,2,8,3,520
Vullaby,LV16.5,2,8,14,520
Vullaby,LV17,2,9,2,520
Vullaby,LV16.5,2,10,11,520
Vullaby,LV16.5,2,11,10,520
Vullaby,LV16.5,2,12,9,520
Vullaby,LV16.5,2,15,5,520
Vullaby,LV17,3,1,8,520
Vullaby,LV17,3,2,7,520
Vullaby,LV17,3,3,6,520
Vullaby,LV16.5,3,4,15,520
Vullaby,LV17,3,5,3,520
Vullaby,LV16.5,3,5,14,520
Vullaby,LV17,3,6,2,520
Vullaby,LV16.5,3,6,13,520
Vullaby,LV17,3,7,1,520
Vullaby,LV17,3,8,0,520
Vullaby,LV16.5,3,8,10,520
Vullaby,LV16.5,3,9,9,520
Vullaby,LV16.5,3,10,8,520
Vullaby,LV16.5,3,13,4,520
Vullaby,LV16.5,3,14,3,520
Vullaby,LV16,3,14,14,520
Vullaby,LV16.5,3,15,2,520
Vullaby,LV16,3,15,13,520
Vullaby,LV17,4,0,6,520
Vullaby,LV17,4,1,5,520
Vullaby,LV17,4,2,4,520
Vullaby,LV16.5,4,3,13,520
Vullaby,LV17,4,4,1,520
Vullaby,LV16.5,4,4,12,520
Vullaby,LV17,4,5,0,520
Vullaby,LV16.5,4,7,8,520
Vullaby,LV16.5,4,8,7,520
Vullaby,LV16.5,4,9,6,520
Vullaby,LV16.5,4,11,3,520
Vullaby,LV16.5,4,12,2,520
Vullaby,LV16,4,12,13,520
Vullaby,LV16.5,4,13,1,520
Vullaby,LV16,4,13,12,520
Vullaby,LV16.5,4,14,0,520
Vullaby,LV16,4,14,11,520
Vullaby,LV17,5,0,3,520
Vullaby,LV16.5,5,0,14,520
Vullaby,LV17,5,1,2,520
Vullaby,LV16.5,5,2,11,520
Vullaby,LV16.5,5,3,10,520
Vullaby,LV16.5,5,5,7,520
Vullaby,LV16.5,5,6,6,520
Vullaby,LV16.5,5,7,5,520
Vullaby,LV16.5,5,8,4,520
Vullaby,LV16,5,8,15,520
Vullaby,LV16.5,5,10,1,520
Vullaby,LV16,5,10,12,520
Vullaby,LV16.5,5,11,0,520
Vullaby,LV16,5,11,11,520
Vullaby,LV16,5,12,10,520
Vullaby,LV16,5,13,9,520
Vullaby,LV16,5,15,6,520
Vullaby,LV17,6,0,0,520
Vullaby,LV16.5,6,1,9,520
Vullaby,LV16.5,6,2,8,520
Vullaby,LV16.5,6,5,4,520
Vullaby,LV16,6,5,15,520
Vullaby,LV16.5,6,6,3,520
Vullaby,LV16,6,6,14,520
Vullaby,LV16.5,6,7,2,520
Vullaby,LV16,6,7,13,520
Vullaby,LV16,6,9,10,520
Vullaby,LV16,6,10,9,520
Vullaby,LV16,6,11,8,520
Vullaby,LV16,6,14,4,520
Vullaby,LV16,6,15,3,520
