Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Wailord,LV9.5,0,0,8,520
Wailord,LV9.5,0,0,9,520
Wailord,LV9.5,0,1,4,520
Wailord,LV9.5,0,1,5,520
Wailord,LV9.5,0,2,1,520
Wailord,LV9,0,9,14,520
Wailord,LV9,0,9,15,520
Wailord,LV9,0,10,11,520
Wailord,LV9,0,11,7,520
Wailord,LV9,0,12,3,520
Wailord,LV9,0,12,4,520
Wailord,LV9,0,13,0,520
Wailord,LV9.5,1,0,4,520
Wailord,LV9.5,1,0,5,520
Wailord,LV9.5,1,1,0,520
Wailord,LV9.5,1,1,1,520
Wailord,LV9,1,8,14,520
Wailord,LV9,1,9,10,520
Wailord,LV9,1,9,11,520
Wailord,LV9,1,10,7,520
Wailord,LV9,1,11,3,520
Wailord,LV9,1,12,0,520
Wailord,LV9.5,2,0,1,520
Wailord,LV9,2,7,14,520
Wailord,LV9,2,8,10,520
Wailord,LV9,2,9,6,520
Wailord,LV9,2,9,7,520
Wailord,LV9,2,10,3,520
Wailord,LV9,3,6,14,520
Wailord,LV9,3,7,10,520
Wailord,LV9,3,8,6,520
Wailord,LV9,3,9,2,520
Wailord,LV9,3,9,3,520
Wailord,LV9,4,5,13,520
Wailord,LV9,4,5,14,520
Wailord,LV9,4,6,10,520
Wailord,LV9,4,7,6,520
Wailord,LV9,4,8,2,520
Wailord,LV9,5,4,13,520
Wailord,LV9,5,4,14,520
Wailord,LV9,5,5,9,520
Wailord,LV9,5,5,10,520
Wailord,LV9,5,6,6,520
Wailord,LV9,5,7,2,520
Wailord,LV9,6,3,13,520
Wailord,LV9,6,3,14,520
Wailord,LV9,6,4,9,520
Wailord,LV9,6,4,10,520
Wailord,LV9,6,5,5,520
Wailord,LV9,6,5,6,520
Wailord,LV9,6,6,2,520
Wailord,LV8.5,6,15,12,520
Wailord,LV9,7,2,13,520
Wailord,LV9,7,2,14,520
Wailord,LV9,7,3,9,520
Wailord,LV9,7,3,10,520
Wailord,LV9,7,4,5,520
Wailord,LV9,7,4,6,520
Wailord,LV9,7,5,2,520
Wailord,LV8.5,7,13,15,520
Wailord,LV8.5,7,14,12,520
Wailord,LV8.5,7,15,8,520
Wailord,LV9,8,1,13,520
Wailord,LV9,8,1,14,520
Wailord,LV9,8,2,9,520
Wailord,LV9,8,2,10,520
Wailord,LV9,8,3,5,520
Wailord,LV9,8,3,6,520
Wailord,LV9,8,4,2,520
Wailord,LV8.5,8,12,15,520
Wailord,LV8.5,8,13,11,520
Wailord,LV8.5,8,13,12,520
Wailord,LV8.5,8,14,8,520
Wailord,LV8.5,8,15,4,520
Wailord,LV8.5,8,15,5,520
Wailord,LV9,9,0,14,520
Wailord,LV9,9,1,10,520
Wailord,LV9,9,2,6,520
Wailord,LV9,9,3,2,520
Wailord,LV8.5,9,11,15,520
Wailord,LV8.5,9,12,11,520
Wailord,LV8.5,9,13,7,520
Wailord,LV8.5,9,13,8,520
Wailord,LV8.5,9,14,4,520
Wailord,LV8.5,9,15,0,520
Wailord,LV8.5,9,15,1,520
Wailord,LV9,10,0,10,520
Wailord,LV9,10,1,6,520
Wailord,LV9,10,2,2,520
Wailord,LV8.5,10,10,14,520
Wailord,LV8.5,10,10,15,520
Wailord,LV8.5,10,11,11,520
Wailord,LV8.5,10,12,7,520
Wailord,LV8.5,10,13,4,520
Wailord,LV8.5,10,14,0,520
Wailord,LV9,11,0,6,520
Wailord,LV9,11,1,2,520
Wailord,LV8.5,11,9,14,520
Wailord,LV8.5,11,9,15,520
Wailord,LV8.5,11,10,11,520
Wailord,LV8.5,11,11,7,520
Wailord,LV8.5,11,12,3,520
Wailord,LV8.5,11,12,4,520
Wailord,LV8.5,11,13,0,520
Wailord,LV9,12,0,2,520
Wailord,LV9,12,0,3,520
Wailord,LV8.5,12,8,14,520
Wailord,LV8.5,12,8,15,520
Wailord,LV8.5,12,9,10,520
Wailord,LV8.5,12,9,11,520
Wailord,LV8.5,12,10,7,520
Wailord,LV8.5,12,11,3,520
Wailord,LV8.5,12,12,0,520
Wailord,LV8.5,13,7,14,520
Wailord,LV8.5,13,7,15,520
Wailord,LV8.5,13,8,10,520
Wailord,LV8.5,13,8,11,520
Wailord,LV8.5,13,9,7,520
Wailord,LV8.5,13,10,3,520
Wailord,LV8.5,13,11,0,520
Wailord,LV8.5,14,6,14,520
Wailord,LV8.5,14,6,15,520
Wailord,LV8.5,14,7,10,520
Wailord,LV8.5,14,7,11,520
Wailord,LV8.5,14,8,7,520
Wailord,LV8.5,14,9,3,520
Wailord,LV8.5,14,10,0,520
Wailord,LV8.5,15,5,14,520
Wailord,LV8.5,15,5,15,520
Wailord,LV8.5,15,6,10,520
Wailord,LV8.5,15,6,11,520
Wailord,LV8.5,15,7,7,520
Wailord,LV8.5,15,8,3,520
Wailord,LV8.5,15,9,0,520
