Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Wartortle,LV14.5,0,2,9,520
Wartortle,LV14.5,0,3,8,520
Wartortle,LV14.5,0,4,7,520
Wartortle,LV14.5,0,5,6,520
Wartortle,LV14.5,0,6,5,520
Wartortle,LV14.5,0,7,4,520
Wartortle,LV14,0,8,15,520
Wartortle,LV14,0,13,10,520
Wartortle,LV14,0,14,9,520
Wartortle,LV14,0,15,8,520
Wartortle,LV14.5,1,0,9,520
Wartortle,LV14.5,1,1,8,520
Wartortle,LV14.5,1,2,7,520
Wartortle,LV14.5,1,3,6,520
Wartortle,LV14.5,1,4,5,520
Wartortle,LV14.5,1,5,4,520
Wartortle,LV14,1,5,15,520
Wartortle,LV14.5,1,6,3,520
Wartortle,LV14,1,6,14,520
Wartortle,LV14.5,1,7,2,520
Wartortle,LV14,1,7,13,520
Wartortle,LV14.5,1,8,1,520
Wartortle,LV14,1,8,12,520
Wartortle,LV14.5,1,9,0,520
Wartortle,LV14,1,9,11,520
Wartortle,LV14,1,10,10,520
Wartortle,LV14,1,11,9,520
Wartortle,LV14,1,12,8,520
Wartortle,LV14,1,13,7,520
Wartortle,LV14,1,14,6,520
Wartortle,LV14,1,15,5,520
Wartortle,LV14.5,2,1,5,520
Wartortle,LV14.5,2,2,4,520
Wartortle,LV14.5,2,3,3,520
Wartortle,LV14,2,14,4,520
Wartortle,LV14,2,15,3,520
Wartortle,LV14.5,3,0,4,520
Wartortle,LV14,3,0,15,520
Wartortle,LV14.5,3,1,3,520
Wartortle,LV14,3,1,14,520
Wartortle,LV14.5,3,2,2,520
Wartortle,LV14,3,2,13,520
Wartortle,LV14.5,3,3,1,520
Wartortle,LV14,3,3,12,520
Wartortle,LV14.5,3,4,0,520
Wartortle,LV14,3,4,11,520
Wartortle,LV14,3,5,10,520
Wartortle,LV14,3,6,9,520
Wartortle,LV14,3,7,8,520
Wartortle,LV14,3,8,7,520
Wartortle,LV14,3,9,6,520
Wartortle,LV14,3,10,5,520
Wartortle,LV14,3,11,4,520
Wartortle,LV14,3,12,3,520
Wartortle,LV13.5,3,12,15,520
Wartortle,LV14,3,13,2,520
Wartortle,LV13.5,3,13,14,520
Wartortle,LV13.5,3,14,13,520
Wartortle,LV13.5,3,15,12,520
Wartortle,LV14,4,12,1,520
Wartortle,LV14,4,13,0,520
Wartortle,LV14,5,0,10,520
Wartortle,LV14,5,1,9,520
Wartortle,LV14,5,2,8,520
Wartortle,LV14,5,3,7,520
Wartortle,LV14,5,4,6,520
Wartortle,LV14,5,5,5,520
Wartortle,LV14,5,6,4,520
Wartortle,LV14,5,7,3,520
Wartortle,LV13.5,5,7,15,520
Wartortle,LV14,5,8,2,520
Wartortle,LV13.5,5,8,14,520
Wartortle,LV14,5,9,1,520
Wartortle,LV13.5,5,9,13,520
Wartortle,LV14,5,10,0,520
Wartortle,LV13.5,5,10,12,520
Wartortle,LV13.5,5,11,11,520
Wartortle,LV13.5,5,12,10,520
Wartortle,LV13.5,5,13,9,520
Wartortle,LV13.5,5,14,8,520
Wartortle,LV13.5,5,15,7,520
