Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Weepinbell,LV13.5,0,2,5,520
Weepinbell,LV13.5,0,3,3,520
Weepinbell,LV13,0,4,14,520
Weepinbell,LV13,0,7,9,520
Weepinbell,LV13,0,8,7,520
Weepinbell,LV13,0,10,4,520
Weepinbell,LV13,0,11,2,520
Weepinbell,LV12.5,0,12,14,520
Weepinbell,LV12.5,0,13,12,520
Weepinbell,LV12.5,0,15,9,520
Weepinbell,LV13.5,1,2,3,520
Weepinbell,LV13.5,1,3,1,520
Weepinbell,LV13,1,3,14,520
Weepinbell,LV13,1,4,12,520
Weepinbell,LV13,1,7,7,520
Weepinbell,LV13,1,8,5,520
Weepinbell,LV13,1,10,2,520
Weepinbell,LV12.5,1,10,15,520
Weepinbell,LV13,1,11,0,520
Weepinbell,LV12.5,1,12,12,520
Weepinbell,LV12.5,1,13,10,520
Weepinbell,LV12.5,1,15,7,520
Weepinbell,LV13.5,2,1,3,520
Weepinbell,LV13.5,2,2,1,520
Weepinbell,LV13,2,2,14,520
Weepinbell,LV13,2,3,12,520
Weepinbell,LV13,2,4,10,520
Weepinbell,LV13,2,7,5,520
Weepinbell,LV13,2,8,3,520
Weepinbell,LV12.5,2,9,15,520
Weepinbell,LV13,2,10,0,520
Weepinbell,LV12.5,2,10,13,520
Weepinbell,LV12.5,2,12,10,520
Weepinbell,LV12.5,2,13,8,520
Weepinbell,LV12.5,2,15,5,520
Weepinbell,LV13.5,3,1,1,520
Weepinbell,LV13,3,1,14,520
Weepinbell,LV13,3,2,12,520
Weepinbell,LV13,3,3,10,520
Weepinbell,LV13,3,4,8,520
Weepinbell,LV13,3,6,5,520
Weepinbell,LV13,3,7,3,520
Weepinbell,LV12.5,3,8,15,520
Weepinbell,LV13,3,9,0,520
Weepinbell,LV12.5,3,9,13,520
Weepinbell,LV12.5,3,10,11,520
Weepinbell,LV12.5,3,12,8,520
Weepinbell,LV12.5,3,13,6,520
Weepinbell,LV12.5,3,15,3,520
Weepinbell,LV13.5,4,0,1,520
Weepinbell,LV13,4,1,12,520
Weepinbell,LV13,4,2,10,520
Weepinbell,LV13,4,3,8,520
Weepinbell,LV13,4,4,6,520
Weepinbell,LV13,4,6,3,520
Weepinbell,LV13,4,7,1,520
Weepinbell,LV12.5,4,8,13,520
Weepinbell,LV12.5,4,9,11,520
Weepinbell,LV12.5,4,10,9,520
Weepinbell,LV12.5,4,12,6,520
Weepinbell,LV12.5,4,14,3,520
Weepinbell,LV12.5,4,15,1,520
Weepinbell,LV12,4,15,15,520
Weepinbell,LV13,5,1,10,520
Weepinbell,LV13,5,2,8,520
Weepinbell,LV13,5,3,6,520
Weepinbell,LV13,5,6,1,520
Weepinbell,LV12.5,5,6,14,520
Weepinbell,LV12.5,5,8,11,520
Weepinbell,LV12.5,5,9,9,520
Weepinbell,LV12.5,5,11,6,520
Weepinbell,LV12.5,5,12,4,520
Weepinbell,LV12.5,5,14,1,520
Weepinbell,LV12,5,14,15,520
Weepinbell,LV12,5,15,13,520
Weepinbell,LV13,6,1,8,520
Weepinbell,LV13,6,2,6,520
Weepinbell,LV13,6,3,4,520
Weepinbell,LV13,6,5,1,520
Weepinbell,LV12.5,6,5,14,520
Weepinbell,LV12.5,6,6,12,520
Weepinbell,LV12.5,6,8,9,520
Weepinbell,LV12.5,6,9,7,520
Weepinbell,LV12.5,6,11,4,520
Weepinbell,LV12.5,6,12,2,520
Weepinbell,LV12,6,14,13,520
Weepinbell,LV12,6,15,11,520
Weepinbell,LV13,7,0,8,520
Weepinbell,LV13,7,1,6,520
Weepinbell,LV13,7,2,4,520
Weepinbell,LV12.5,7,4,14,520
Weepinbell,LV12.5,7,5,12,520
Weepinbell,LV12.5,7,8,7,520
Weepinbell,LV12.5,7,9,5,520
Weepinbell,LV12.5,7,11,2,520
Weepinbell,LV12,7,12,14,520
Weepinbell,LV12,7,14,11,520
Weepinbell,LV12,7,15,9,520
Weepinbell,LV13,8,0,6,520
Weepinbell,LV13,8,1,4,520
Weepinbell,LV13,8,2,2,520
Weepinbell,LV12.5,8,3,14,520
Weepinbell,LV12.5,8,4,12,520
Weepinbell,LV12.5,8,5,10,520
Weepinbell,LV12.5,8,7,7,520
Weepinbell,LV12.5,8,8,5,520
Weepinbell,LV12.5,8,10,2,520
Weepinbell,LV12.5,8,11,0,520
Weepinbell,LV12,8,11,14,520
Weepinbell,LV12,8,12,12,520
Weepinbell,LV12,8,14,9,520
Weepinbell,LV13,9,0,4,520
Weepinbell,LV13,9,1,2,520
Weepinbell,LV12.5,9,2,14,520
