Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Wigglytuff,LV11,0,3,15,520
Wigglytuff,LV11,0,4,12,520
Wigglytuff,LV11,0,5,9,520
Wigglytuff,LV11,0,6,6,520
Wigglytuff,LV11,0,7,3,520
Wigglytuff,LV11,0,8,0,520
Wigglytuff,LV10.5,0,13,13,520
Wigglytuff,LV10.5,0,14,10,520
Wigglytuff,LV10.5,0,15,7,520
Wigglytuff,LV11,1,2,15,520
Wigglytuff,LV11,1,3,11,520
Wigglytuff,LV11,1,3,12,520
Wigglytuff,LV11,1,4,8,520
Wigglytuff,LV11,1,5,5,520
Wigglytuff,LV11,1,6,2,520
Wigglytuff,LV10.5,1,11,15,520
Wigglytuff,LV10.5,1,12,12,520
Wigglytuff,LV10.5,1,13,9,520
Wigglytuff,LV10.5,1,14,6,520
Wigglytuff,LV10.5,1,15,3,520
Wigglytuff,LV11,2,1,14,520
Wigglytuff,LV11,2,2,11,520
Wigglytuff,LV11,2,3,8,520
Wigglytuff,LV11,2,4,4,520
Wigglytuff,LV11,2,4,5,520
Wigglytuff,LV11,2,5,1,520
Wigglytuff,LV10.5,2,10,14,520
Wigglytuff,LV10.5,2,11,11,520
Wigglytuff,LV10.5,2,12,8,520
Wigglytuff,LV10.5,2,13,5,520
Wigglytuff,LV10.5,2,14,2,520
Wigglytuff,LV11,3,0,14,520
Wigglytuff,LV11,3,1,10,520
Wigglytuff,LV11,3,1,11,520
Wigglytuff,LV11,3,2,7,520
Wigglytuff,LV11,3,3,4,520
Wigglytuff,LV11,3,4,1,520
Wigglytuff,LV10.5,3,9,13,520
Wigglytuff,LV10.5,3,10,10,520
Wigglytuff,LV10.5,3,11,7,520
Wigglytuff,LV10.5,3,12,4,520
Wigglytuff,LV10.5,3,13,1,520
Wigglytuff,LV11,4,0,10,520
Wigglytuff,LV11,4,1,7,520
Wigglytuff,LV11,4,2,3,520
Wigglytuff,LV11,4,3,0,520
Wigglytuff,LV10.5,4,7,15,520
Wigglytuff,LV10.5,4,8,12,520
Wigglytuff,LV10.5,4,8,13,520
Wigglytuff,LV10.5,4,9,9,520
Wigglytuff,LV10.5,4,10,6,520
Wigglytuff,LV10.5,4,11,3,520
Wigglytuff,LV10.5,4,12,0,520
Wigglytuff,LV11,5,0,6,520
Wigglytuff,LV11,5,1,3,520
Wigglytuff,LV11,5,2,0,520
Wigglytuff,LV10.5,5,6,15,520
Wigglytuff,LV10.5,5,7,12,520
Wigglytuff,LV10.5,5,8,9,520
Wigglytuff,LV10.5,5,9,5,520
Wigglytuff,LV10.5,5,9,6,520
Wigglytuff,LV10.5,5,10,2,520
Wigglytuff,LV10.5,5,10,3,520
Wigglytuff,LV10.5,5,11,0,520
Wigglytuff,LV11,6,0,2,520
Wigglytuff,LV11,6,0,3,520
Wigglytuff,LV10.5,6,5,14,520
Wigglytuff,LV10.5,6,6,11,520
Wigglytuff,LV10.5,6,7,8,520
Wigglytuff,LV10.5,6,8,5,520
Wigglytuff,LV10.5,6,9,2,520
Wigglytuff,LV10,6,15,13,520
Wigglytuff,LV10,6,15,14,520
Wigglytuff,LV10.5,7,4,14,520
Wigglytuff,LV10.5,7,5,10,520
Wigglytuff,LV10.5,7,5,11,520
Wigglytuff,LV10.5,7,6,7,520
Wigglytuff,LV10.5,7,7,4,520
Wigglytuff,LV10.5,7,8,1,520
Wigglytuff,LV10,7,14,13,520
Wigglytuff,LV10,7,15,10,520
Wigglytuff,LV10.5,8,3,13,520
Wigglytuff,LV10.5,8,4,10,520
Wigglytuff,LV10.5,8,5,7,520
Wigglytuff,LV10.5,8,6,4,520
Wigglytuff,LV10.5,8,7,1,520
Wigglytuff,LV10,8,12,15,520
Wigglytuff,LV10,8,13,12,520
Wigglytuff,LV10,8,14,9,520
Wigglytuff,LV10,8,15,6,520
Wigglytuff,LV10.5,9,2,13,520
Wigglytuff,LV10.5,9,3,10,520
Wigglytuff,LV10.5,9,4,6,520
Wigglytuff,LV10.5,9,5,3,520
Wigglytuff,LV10.5,9,6,0,520
Wigglytuff,LV10,9,11,14,520
Wigglytuff,LV10,9,12,11,520
Wigglytuff,LV10,9,13,8,520
Wigglytuff,LV10,9,14,5,520
Wigglytuff,LV10,9,15,2,520
Wigglytuff,LV10.5,10,1,12,520
Wigglytuff,LV10.5,10,1,13,520
Wigglytuff,LV10.5,10,2,9,520
Wigglytuff,LV10.5,10,3,6,520
Wigglytuff,LV10.5,10,4,3,520
Wigglytuff,LV10.5,10,5,0,520
Wigglytuff,LV10,10,10,13,520
Wigglytuff,LV10,10,10,14,520
Wigglytuff,LV10,10,11,10,520
Wigglytuff,LV10,10,11,11,520
Wigglytuff,LV10,10,12,7,520
Wigglytuff,LV10,10,12,8,520
Wigglytuff,LV10,10,13,4,520
Wigglytuff,LV10,10,13,5,520
Wigglytuff,LV10,10,14,2,520
Wigglytuff,LV10.5,11,0,12,520
Wigglytuff,LV10.5,11,1,9,520
Wigglytuff,LV10.5,11,2,6,520
Wigglytuff,LV10.5,11,3,2,520
Wigglytuff,LV10,11,9,13,520
Wigglytuff,LV10,11,10,10,520
Wigglytuff,LV10,11,11,7,520
Wigglytuff,LV10,11,12,4,520
Wigglytuff,LV10,11,13,1,520
Wigglytuff,LV10.5,12,0,9,520
Wigglytuff,LV10.5,12,1,5,520
Wigglytuff,LV10.5,12,2,2,520
Wigglytuff,LV10,12,7,15,520
Wigglytuff,LV10,12,8,12,520
Wigglytuff,LV10,12,9,9,520
Wigglytuff,LV10,12,10,6,520
Wigglytuff,LV10,12,11,3,520
Wigglytuff,LV10,12,12,0,520
Wigglytuff,LV10.5,13,0,5,520
Wigglytuff,LV10.5,13,1,2,520
Wigglytuff,LV10,13,6,15,520
Wigglytuff,LV10,13,7,12,520
Wigglytuff,LV10,13,8,9,520
Wigglytuff,LV10,13,9,6,520
Wigglytuff,LV10,13,10,3,520
Wigglytuff,LV10,13,11,0,520
Wigglytuff,LV10.5,14,0,1,520
Wigglytuff,LV10.5,14,0,2,520
Wigglytuff,LV10,14,5,15,520
Wigglytuff,LV10,14,6,11,520
Wigglytuff,LV10,14,6,12,520
Wigglytuff,LV10,14,7,8,520
Wigglytuff,LV10,14,8,5,520
Wigglytuff,LV10,14,9,2,520
Wigglytuff,LV10,15,4,14,520
Wigglytuff,LV10,15,5,11,520
Wigglytuff,LV10,15,6,8,520
Wigglytuff,LV10,15,7,5,520
Wigglytuff,LV10,15,8,2,520
Wigglytuff,LV9.5,15,15,14,520
