Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Wiglett,LV50,0,6,12,520
Wiglett,LV49.5,0,8,10,520
Wiglett,LV49,0,8,11,520
Wiglett,LV48.5,0,8,12,520
Wiglett,LV48,0,8,13,520
Wiglett,LV47.5,0,8,14,520
Wiglett,LV47,0,8,15,520
Wiglett,LV50,0,9,8,520
Wiglett,LV49.5,0,9,9,520
Wiglett,LV47.5,0,11,10,520
Wiglett,LV47,0,11,11,520
Wiglett,LV46.5,0,11,12,520
Wiglett,LV46,0,11,13,520
Wiglett,LV45.5,0,11,14,520
Wiglett,LV45,0,11,15,520
Wiglett,LV48.5,0,12,7,520
Wiglett,LV48,0,12,8,520
Wiglett,LV47.5,0,12,9,520
Wiglett,LV49,0,13,5,520
Wiglett,LV48.5,0,13,6,520
Wiglett,LV49.5,0,14,3,520
Wiglett,LV49,0,14,4,520
Wiglett,LV44,0,14,13,520
Wiglett,LV43.5,0,14,14,520
Wiglett,LV43,0,14,15,520
Wiglett,LV49.5,0,15,2,520
Wiglett,LV49,0,15,3,520
Wiglett,LV45.5,0,15,9,520
Wiglett,LV45,0,15,10,520
Wiglett,LV44.5,0,15,11,520
Wiglett,LV44,0,15,12,520
Wiglett,LV43.5,0,15,13,520
Wiglett,LV43,0,15,14,520
Wiglett,LV42.5,0,15,15,520
Wiglett,LV49.5,1,4,14,520
Wiglett,LV49,1,4,15,520
Wiglett,LV50,1,7,9,520
Wiglett,LV49.5,1,7,10,520
Wiglett,LV49,1,7,11,520
Wiglett,LV48.5,1,7,12,520
Wiglett,LV48,1,7,13,520
Wiglett,LV47,1,9,12,520
Wiglett,LV46.5,1,9,13,520
Wiglett,LV46,1,9,14,520
Wiglett,LV45.5,1,9,15,520
Wiglett,LV48.5,1,10,8,520
Wiglett,LV48,1,10,9,520
Wiglett,LV47.5,1,10,10,520
Wiglett,LV49.5,1,11,5,520
Wiglett,LV49,1,11,6,520
Wiglett,LV48.5,1,11,7,520
Wiglett,LV49.5,1,12,4,520
Wiglett,LV49,1,12,5,520
Wiglett,LV44,1,12,14,520
Wiglett,LV50,1,13,2,520
Wiglett,LV49.5,1,13,3,520
Wiglett,LV46,1,13,9,520
Wiglett,LV45.5,1,13,10,520
Wiglett,LV45,1,13,11,520
Wiglett,LV44.5,1,13,12,520
Wiglett,LV44,1,13,13,520
Wiglett,LV43.5,1,13,14,520
Wiglett,LV43,1,13,15,520
Wiglett,LV50,1,14,1,520
Wiglett,LV47,1,14,6,520
Wiglett,LV46.5,1,14,7,520
Wiglett,LV46,1,14,8,520
Wiglett,LV50,1,15,0,520
Wiglett,LV47,1,15,5,520
Wiglett,LV46.5,1,15,6,520
Wiglett,LV49.5,2,3,14,520
Wiglett,LV49,2,3,15,520
Wiglett,LV47.5,2,5,15,520
Wiglett,LV50,2,6,9,520
Wiglett,LV49.5,2,6,10,520
Wiglett,LV49,2,6,11,520
Wiglett,LV48,2,8,10,520
Wiglett,LV47.5,2,8,11,520
Wiglett,LV47,2,8,12,520
Wiglett,LV46.5,2,8,13,520
Wiglett,LV46,2,8,14,520
Wiglett,LV45.5,2,8,15,520
Wiglett,LV49,2,9,7,520
Wiglett,LV48.5,2,9,8,520
Wiglett,LV50,2,10,4,520
Wiglett,LV49.5,2,10,5,520
Wiglett,LV50,2,11,3,520
Wiglett,LV46,2,11,10,520
Wiglett,LV45.5,2,11,11,520
Wiglett,LV45,2,11,12,520
Wiglett,LV44.5,2,11,13,520
Wiglett,LV44,2,11,14,520
Wiglett,LV43.5,2,11,15,520
Wiglett,LV50,2,12,2,520
Wiglett,LV47,2,12,7,520
Wiglett,LV46.5,2,12,8,520
Wiglett,LV46,2,12,9,520
Wiglett,LV47.5,2,13,5,520
Wiglett,LV47,2,13,6,520
Wiglett,LV48,2,14,3,520
Wiglett,LV47.5,2,14,4,520
Wiglett,LV48,2,15,2,520
Wiglett,LV47.5,2,15,3,520
Wiglett,LV44,2,15,9,520
Wiglett,LV43.5,2,15,10,520
Wiglett,LV43,2,15,11,520
Wiglett,LV42.5,2,15,12,520
Wiglett,LV42,2,15,13,520
Wiglett,LV41.5,2,15,14,520
Wiglett,LV41,2,15,15,520
Wiglett,LV49,3,2,15,520
Wiglett,LV48,3,4,14,520
Wiglett,LV47.5,3,4,15,520
Wiglett,LV50,3,5,9,520
Wiglett,LV49.5,3,5,10,520
Wiglett,LV48.5,3,7,9,520
Wiglett,LV48,3,7,10,520
Wiglett,LV47.5,3,7,11,520
Wiglett,LV47,3,7,12,520
Wiglett,LV46.5,3,7,13,520
Wiglett,LV46,3,7,14,520
Wiglett,LV49.5,3,8,6,520
Wiglett,LV49,3,8,7,520
Wiglett,LV50,3,9,4,520
Wiglett,LV49.5,3,9,5,520
Wiglett,LV45,3,9,13,520
Wiglett,LV44.5,3,9,14,520
Wiglett,LV44,3,9,15,520
Wiglett,LV50,3,10,3,520
Wiglett,LV47,3,10,8,520
Wiglett,LV46.5,3,10,9,520
Wiglett,LV46,3,10,10,520
Wiglett,LV45.5,3,10,11,520
Wiglett,LV48,3,11,5,520
Wiglett,LV47.5,3,11,6,520
Wiglett,LV47,3,11,7,520
Wiglett,LV48,3,12,4,520
Wiglett,LV47.5,3,12,5,520
Wiglett,LV48.5,3,13,2,520
Wiglett,LV48,3,13,3,520
Wiglett,LV44.5,3,13,9,520
Wiglett,LV44,3,13,10,520
Wiglett,LV43.5,3,13,11,520
Wiglett,LV43,3,13,12,520
Wiglett,LV42.5,3,13,13,520
Wiglett,LV42,3,13,14,520
Wiglett,LV41.5,3,13,15,520
Wiglett,LV48.5,3,14,1,520
Wiglett,LV45,3,14,7,520
Wiglett,LV44.5,3,14,8,520
Wiglett,LV44,3,14,9,520
Wiglett,LV48.5,3,15,0,520
Wiglett,LV45.5,3,15,5,520
Wiglett,LV45,3,15,6,520
Wiglett,LV47.5,4,3,15,520
Wiglett,LV50,4,4,9,520
Wiglett,LV49.5,4,4,10,520
Wiglett,LV49,4,6,8,520
Wiglett,LV48.5,4,6,9,520
Wiglett,LV48,4,6,10,520
Wiglett,LV47.5,4,6,11,520
Wiglett,LV47,4,6,12,520
Wiglett,LV50,4,7,5,520
Wiglett,LV49.5,4,7,6,520
Wiglett,LV49,4,7,7,520
Wiglett,LV50,4,8,4,520
Wiglett,LV46,4,8,11,520
Wiglett,LV45.5,4,8,12,520
Wiglett,LV45,4,8,13,520
Wiglett,LV44.5,4,8,14,520
Wiglett,LV44,4,8,15,520
Wiglett,LV47.5,4,9,7,520
Wiglett,LV47,4,9,8,520
Wiglett,LV46.5,4,9,9,520
Wiglett,LV48,4,10,5,520
Wiglett,LV47.5,4,10,6,520
Wiglett,LV48.5,4,11,3,520
Wiglett,LV44,4,11,11,520
Wiglett,LV43.5,4,11,12,520
Wiglett,LV43,4,11,13,520
Wiglett,LV42.5,4,11,14,520
Wiglett,LV42,4,11,15,520
Wiglett,LV49,4,12,1,520
Wiglett,LV48.5,4,12,2,520
Wiglett,LV45.5,4,12,7,520
Wiglett,LV45,4,12,8,520
Wiglett,LV44.5,4,12,9,520
Wiglett,LV44,4,12,10,520
Wiglett,LV43.5,4,12,11,520
Wiglett,LV49,4,13,0,520
Wiglett,LV46,4,13,5,520
Wiglett,LV45.5,4,13,6,520
Wiglett,LV45,4,13,7,520
Wiglett,LV46,4,14,4,520
Wiglett,LV45.5,4,14,5,520
Wiglett,LV46.5,4,15,2,520
Wiglett,LV46,4,15,3,520
Wiglett,LV50,5,1,12,520
Wiglett,LV50,5,3,9,520
Wiglett,LV49.5,5,3,10,520
Wiglett,LV49,5,3,11,520
Wiglett,LV49,5,5,8,520
Wiglett,LV48.5,5,5,9,520
Wiglett,LV48,5,5,10,520
Wiglett,LV47.5,5,5,11,520
Wiglett,LV50,5,6,5,520
