Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Wingull,LV34,0,0,1,520
Wingull,LV33.5,0,0,3,520
Wingull,LV33,0,0,5,520
Wingull,LV32.5,0,0,7,520
Wingull,LV32,0,0,9,520
Wingull,LV33.5,0,1,1,520
Wingull,LV33,0,1,3,520
Wingull,LV32.5,0,1,5,520
Wingull,LV32,0,1,7,520
Wingull,LV31.5,0,1,9,520
Wingull,LV33,0,2,1,520
Wingull,LV32.5,0,2,3,520
Wingull,LV32,0,2,5,520
Wingull,LV31.5,0,2,7,520
Wingull,LV31,0,2,9,520
Wingull,LV32.5,0,3,1,520
Wingull,LV32,0,3,3,520
Wingull,LV31.5,0,3,5,520
Wingull,LV31,0,3,7,520
Wingull,LV32,0,4,1,520
Wingull,LV31.5,0,4,3,520
Wingull,LV31,0,4,5,520
Wingull,LV29.5,0,4,14,520
Wingull,LV29.5,0,5,12,520
Wingull,LV29.5,0,6,10,520
Wingull,LV29.5,0,7,8,520
Wingull,LV30.5,0,8,0,520
Wingull,LV30,0,8,2,520
Wingull,LV29.5,0,8,6,520
Wingull,LV28.5,0,8,15,520
Wingull,LV30,0,9,0,520
Wingull,LV28.5,0,9,13,520
Wingull,LV29,0,10,7,520
Wingull,LV29.5,0,11,1,520
Wingull,LV29,0,11,5,520
Wingull,LV28,0,11,14,520
Wingull,LV28.5,0,13,6,520
Wingull,LV29,0,14,0,520
Wingull,LV28,0,14,9,520
Wingull,LV28,0,15,7,520
Wingull,LV33.5,1,0,1,520
Wingull,LV31.5,1,0,9,520
Wingull,LV31,1,0,11,520
Wingull,LV30.5,1,0,13,520
Wingull,LV33,1,1,1,520
Wingull,LV31,1,1,9,520
Wingull,LV30.5,1,1,11,520
Wingull,LV30,1,1,13,520
Wingull,LV32.5,1,2,1,520
Wingull,LV31,1,2,7,520
Wingull,LV30.5,1,2,9,520
Wingull,LV30,1,2,11,520
Wingull,LV32,1,3,1,520
Wingull,LV31.5,1,3,3,520
Wingull,LV31,1,3,5,520
Wingull,LV30.5,1,3,7,520
Wingull,LV30,1,3,9,520
Wingull,LV31.5,1,4,1,520
Wingull,LV31,1,4,3,520
Wingull,LV30.5,1,4,5,520
Wingull,LV30,1,4,7,520
Wingull,LV31,1,5,1,520
Wingull,LV30.5,1,5,3,520
Wingull,LV30,1,5,5,520
Wingull,LV29,1,5,14,520
Wingull,LV30.5,1,6,1,520
Wingull,LV30,1,6,3,520
Wingull,LV29,1,6,12,520
Wingull,LV29,1,7,10,520
Wingull,LV29,1,8,8,520
Wingull,LV29.5,1,9,2,520
Wingull,LV29,1,9,6,520
Wingull,LV28.5,1,10,9,520
Wingull,LV28.5,1,11,7,520
Wingull,LV29,1,12,1,520
Wingull,LV28,1,12,10,520
Wingull,LV28,1,13,8,520
Wingull,LV27.5,1,13,13,520
Wingull,LV28.5,1,14,2,520
Wingull,LV27.5,1,14,11,520
Wingull,LV27,1,15,14,520
Wingull,LV30,2,0,13,520
Wingull,LV29.5,2,1,15,520
Wingull,LV29.5,2,2,13,520
Wingull,LV29.5,2,3,11,520
Wingull,LV29.5,2,4,9,520
Wingull,LV30,2,5,3,520
Wingull,LV29.5,2,5,7,520
Wingull,LV30,2,6,1,520
Wingull,LV29.5,2,6,5,520
Wingull,LV28.5,2,6,14,520
Wingull,LV28.5,2,7,12,520
Wingull,LV28.5,2,8,10,520
Wingull,LV28,2,8,15,520
Wingull,LV29,2,9,4,520
Wingull,LV28,2,9,13,520
Wingull,LV29,2,10,2,520
