Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Wishiwashi School Form,LV6.5,0,0,8,520
Wishiwashi School Form,LV6.5,0,2,7,520
Wishiwashi School Form,LV6.5,0,4,6,520
Wishiwashi School Form,LV6.5,0,5,5,520
Wishiwashi School Form,LV6.5,0,7,4,520
Wishiwashi School Form,LV6.5,0,9,3,520
Wishiwashi School Form,LV6.5,0,11,2,520
Wishiwashi School Form,LV6.5,0,13,1,520
Wishiwashi School Form,LV6.5,0,15,0,520
Wishiwashi School Form,LV6.5,1,0,7,520
Wishiwashi School Form,LV6.5,1,2,6,520
Wishiwashi School Form,LV6.5,1,5,4,520
Wishiwashi School Form,LV6.5,1,7,3,520
Wishiwashi School Form,LV6.5,1,9,2,520
Wishiwashi School Form,LV6.5,1,11,1,520
Wishiwashi School Form,LV6.5,1,13,0,520
Wishiwashi School Form,LV6.5,2,0,6,520
Wishiwashi School Form,LV6.5,2,2,5,520
Wishiwashi School Form,LV6.5,2,3,4,520
Wishiwashi School Form,LV6.5,2,5,3,520
Wishiwashi School Form,LV6.5,2,7,2,520
Wishiwashi School Form,LV6.5,2,9,1,520
Wishiwashi School Form,LV6.5,2,11,0,520
Wishiwashi School Form,LV6.5,3,0,5,520
Wishiwashi School Form,LV6.5,3,3,3,520
Wishiwashi School Form,LV6.5,3,5,2,520
Wishiwashi School Form,LV6.5,3,7,1,520
Wishiwashi School Form,LV6.5,3,9,0,520
Wishiwashi School Form,LV6.5,4,0,4,520
Wishiwashi School Form,LV6.5,4,3,2,520
Wishiwashi School Form,LV6.5,4,5,1,520
Wishiwashi School Form,LV6.5,4,7,0,520
Wishiwashi School Form,LV6.5,5,0,3,520
Wishiwashi School Form,LV6.5,5,3,1,520
Wishiwashi School Form,LV6.5,5,5,0,520
Wishiwashi School Form,LV6.5,6,0,2,520
Wishiwashi School Form,LV6.5,6,3,0,520
Wishiwashi School Form,LV6.5,7,0,1,520
Wishiwashi School Form,LV6.5,8,0,0,520
Wishiwashi School Form,LV6,9,14,15,520
Wishiwashi School Form,LV6,10,12,15,520
Wishiwashi School Form,LV6,10,14,14,520
Wishiwashi School Form,LV6,10,15,13,520
Wishiwashi School Form,LV6,11,10,15,520
Wishiwashi School Form,LV6,11,12,14,520
Wishiwashi School Form,LV6,11,13,13,520
Wishiwashi School Form,LV6,11,15,12,520
Wishiwashi School Form,LV6,12,8,15,520
Wishiwashi School Form,LV6,12,10,14,520
Wishiwashi School Form,LV6,12,12,13,520
Wishiwashi School Form,LV6,12,13,12,520
Wishiwashi School Form,LV6,12,15,11,520
Wishiwashi School Form,LV6,13,6,15,520
Wishiwashi School Form,LV6,13,8,14,520
Wishiwashi School Form,LV6,13,10,13,520
Wishiwashi School Form,LV6,13,11,12,520
Wishiwashi School Form,LV6,13,13,11,520
Wishiwashi School Form,LV6,13,15,10,520
Wishiwashi School Form,LV6,14,4,15,520
Wishiwashi School Form,LV6,14,6,14,520
Wishiwashi School Form,LV6,14,8,13,520
Wishiwashi School Form,LV6,14,10,12,520
Wishiwashi School Form,LV6,14,11,11,520
Wishiwashi School Form,LV6,14,13,10,520
Wishiwashi School Form,LV6,14,15,9,520
Wishiwashi School Form,LV6,15,4,14,520
Wishiwashi School Form,LV6,15,6,13,520
Wishiwashi School Form,LV6,15,8,12,520
Wishiwashi School Form,LV6,15,10,11,520
Wishiwashi School Form,LV6,15,11,10,520
Wishiwashi School Form,LV6,15,13,9,520
Wishiwashi School Form,LV6,15,15,8,520
