Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Wooper,LV49.5,0,0,2,520
Wooper,LV49,0,0,4,520
Wooper,LV48.5,0,0,6,520
Wooper,LV47,0,0,11,520
Wooper,LV46.5,0,0,13,520
Wooper,LV46,0,0,15,520
Wooper,LV49.5,0,1,0,520
Wooper,LV48,0,1,5,520
Wooper,LV47.5,0,1,7,520
Wooper,LV47,0,1,9,520
Wooper,LV46.5,0,1,11,520
Wooper,LV46,0,1,13,520
Wooper,LV45.5,0,1,15,520
Wooper,LV48.5,0,2,1,520
Wooper,LV48,0,2,3,520
Wooper,LV47.5,0,2,5,520
Wooper,LV45,0,2,14,520
Wooper,LV48,0,3,1,520
Wooper,LV46,0,3,8,520
Wooper,LV45.5,0,3,10,520
Wooper,LV45,0,3,12,520
Wooper,LV44.5,0,3,14,520
Wooper,LV46.5,0,4,4,520
Wooper,LV46,0,4,6,520
Wooper,LV45.5,0,4,8,520
Wooper,LV45,0,4,10,520
Wooper,LV47,0,5,0,520
Wooper,LV46.5,0,5,2,520
Wooper,LV46,0,5,4,520
Wooper,LV43,0,5,15,520
Wooper,LV46.5,0,6,0,520
Wooper,LV46,0,6,2,520
Wooper,LV44.5,0,6,7,520
Wooper,LV44,0,6,9,520
Wooper,LV43.5,0,6,11,520
Wooper,LV43,0,6,13,520
Wooper,LV42.5,0,6,15,520
Wooper,LV44.5,0,7,5,520
Wooper,LV44,0,7,7,520
Wooper,LV43.5,0,7,9,520
Wooper,LV43,0,7,11,520
Wooper,LV42.5,0,7,13,520
Wooper,LV42,0,7,15,520
Wooper,LV44.5,0,8,3,520
Wooper,LV44,0,8,5,520
Wooper,LV43.5,0,8,7,520
Wooper,LV43,0,8,9,520
Wooper,LV44.5,0,9,1,520
Wooper,LV44,0,9,3,520
Wooper,LV43.5,0,9,5,520
Wooper,LV44,0,10,1,520
Wooper,LV43.5,0,10,3,520
Wooper,LV43.5,0,11,1,520
Wooper,LV43,0,11,3,520
Wooper,LV43,0,12,1,520
Wooper,LV40,0,12,12,520
Wooper,LV42.5,0,13,1,520
Wooper,LV40,0,13,10,520
Wooper,LV39,0,13,15,520
Wooper,LV42,0,14,1,520
Wooper,LV39,0,14,13,520
Wooper,LV38.5,0,14,15,520
Wooper,LV41.5,0,15,1,520
Wooper,LV39,0,15,11,520
Wooper,LV38.5,0,15,13,520
Wooper,LV49,1,0,0,520
Wooper,LV48.5,1,0,2,520
Wooper,LV47,1,0,7,520
Wooper,LV46.5,1,0,9,520
Wooper,LV46,1,0,11,520
Wooper,LV45.5,1,0,13,520
Wooper,LV45,1,0,15,520
Wooper,LV47.5,1,1,3,520
Wooper,LV47,1,1,5,520
Wooper,LV46.5,1,1,7,520
Wooper,LV47.5,1,2,1,520
Wooper,LV45.5,1,2,8,520
Wooper,LV45,1,2,10,520
Wooper,LV44.5,1,2,12,520
Wooper,LV44,1,2,14,520
Wooper,LV46,1,3,4,520
Wooper,LV45.5,1,3,6,520
Wooper,LV45,1,3,8,520
Wooper,LV44.5,1,3,10,520
Wooper,LV46.5,1,4,0,520
Wooper,LV46,1,4,2,520
Wooper,LV45.5,1,4,4,520
Wooper,LV46,1,5,0,520
Wooper,LV44,1,5,7,520
Wooper,LV43.5,1,5,9,520
Wooper,LV43,1,5,11,520
Wooper,LV42.5,1,5,13,520
Wooper,LV42,1,5,15,520
Wooper,LV44.5,1,6,3,520
Wooper,LV44,1,6,5,520
Wooper,LV43.5,1,6,7,520
Wooper,LV43,1,6,9,520
Wooper,LV42.5,1,6,11,520
Wooper,LV42,1,6,13,520
Wooper,LV41.5,1,6,15,520
Wooper,LV44.5,1,7,1,520
Wooper,LV44,1,7,3,520
Wooper,LV43.5,1,7,5,520
Wooper,LV43,1,7,7,520
Wooper,LV44,1,8,1,520
Wooper,LV43.5,1,8,3,520
Wooper,LV43,1,8,5,520
Wooper,LV43.5,1,9,1,520
Wooper,LV40.5,1,9,12,520
Wooper,LV43,1,10,1,520
Wooper,LV41,1,10,8,520
Wooper,LV40.5,1,10,10,520
Wooper,LV40,1,10,12,520
Wooper,LV41,1,11,6,520
Wooper,LV40.5,1,11,8,520
Wooper,LV40,1,11,10,520
Wooper,LV39,1,11,15,520
Wooper,LV40.5,1,12,6,520
Wooper,LV40,1,12,8,520
Wooper,LV38.5,1,12,15,520
Wooper,LV40.5,1,13,4,520
Wooper,LV40,1,13,6,520
Wooper,LV38.5,1,13,13,520
Wooper,LV38,1,13,15,520
Wooper,LV38.5,1,14,11,520
Wooper,LV38,1,14,13,520
Wooper,LV39,1,15,7,520
Wooper,LV38.5,1,15,9,520
Wooper,LV38,1,15,11,520
Wooper,LV47,2,0,3,520
Wooper,LV46.5,2,0,5,520
Wooper,LV46,2,0,7,520
Wooper,LV45.5,2,0,9,520
Wooper,LV47,2,1,1,520
Wooper,LV46.5,2,1,3,520
Wooper,LV44.5,2,1,10,520
Wooper,LV44,2,1,12,520
Wooper,LV43.5,2,1,14,520
Wooper,LV45.5,2,2,4,520
Wooper,LV45,2,2,6,520
Wooper,LV44.5,2,2,8,520
Wooper,LV44,2,2,10,520
Wooper,LV43.5,2,2,12,520
Wooper,LV43,2,2,14,520
Wooper,LV46,2,3,0,520
Wooper,LV45.5,2,3,2,520
Wooper,LV45,2,3,4,520
Wooper,LV44.5,2,3,6,520
Wooper,LV45.5,2,4,0,520
Wooper,LV45,2,4,2,520
Wooper,LV43,2,4,9,520
Wooper,LV42.5,2,4,11,520
Wooper,LV42,2,4,13,520
Wooper,LV41.5,2,4,15,520
Wooper,LV44,2,5,3,520
Wooper,LV43.5,2,5,5,520
Wooper,LV43,2,5,7,520
Wooper,LV42.5,2,5,9,520
Wooper,LV42,2,5,11,520
Wooper,LV41.5,2,5,13,520
Wooper,LV41,2,5,15,520
Wooper,LV44,2,6,1,520
Wooper,LV43.5,2,6,3,520
Wooper,LV43,2,6,5,520
Wooper,LV42.5,2,6,7,520
Wooper,LV42,2,6,9,520
Wooper,LV43.5,2,7,1,520
Wooper,LV43,2,7,3,520
Wooper,LV43,2,8,1,520
Wooper,LV40,2,8,12,520
Wooper,LV41,2,9,6,520
Wooper,LV40.5,2,9,8,520
Wooper,LV40,2,9,10,520
Wooper,LV39,2,9,15,520
Wooper,LV41,2,10,4,520
Wooper,LV40.5,2,10,6,520
Wooper,LV40,2,10,8,520
Wooper,LV38.5,2,10,15,520
Wooper,LV40.5,2,11,4,520
Wooper,LV40,2,11,6,520
Wooper,LV38.5,2,11,13,520
Wooper,LV38,2,11,15,520
Wooper,LV40,2,12,4,520
Wooper,LV38.5,2,12,11,520
Wooper,LV38,2,12,13,520
Wooper,LV40,2,13,2,520
Wooper,LV38.5,2,13,9,520
Wooper,LV38,2,13,11,520
Wooper,LV38.5,2,14,7,520
Wooper,LV38,2,14,9,520
Wooper,LV37,2,14,14,520
Wooper,LV39,2,15,3,520
Wooper,LV38.5,2,15,5,520
Wooper,LV38,2,15,7,520
Wooper,LV37,2,15,12,520
Wooper,LV36.5,2,15,14,520
Wooper,LV46.5,3,0,1,520
Wooper,LV46,3,0,3,520
Wooper,LV45.5,3,0,5,520
Wooper,LV46,3,1,1,520
Wooper,LV44.5,3,1,6,520
Wooper,LV44,3,1,8,520
Wooper,LV43.5,3,1,10,520
Wooper,LV43,3,1,12,520
Wooper,LV42.5,3,1,14,520
Wooper,LV45,3,2,2,520
Wooper,LV44.5,3,2,4,520
Wooper,LV44,3,2,6,520
Wooper,LV43.5,3,2,8,520
Wooper,LV43,3,2,10,520
Wooper,LV45,3,3,0,520
Wooper,LV44.5,3,3,2,520
Wooper,LV41.5,3,3,13,520
Wooper,LV44.5,3,4,0,520
Wooper,LV43,3,4,5,520
Wooper,LV42.5,3,4,7,520
Wooper,LV42,3,4,9,520
Wooper,LV41.5,3,4,11,520
Wooper,LV41,3,4,13,520
Wooper,LV40.5,3,4,15,520
Wooper,LV43,3,5,3,520
Wooper,LV42.5,3,5,5,520
Wooper,LV42,3,5,7,520
Wooper,LV41.5,3,5,9,520
Wooper,LV41,3,5,11,520
Wooper,LV40.5,3,5,13,520
Wooper,LV40,3,5,15,520
Wooper,LV43,3,6,1,520
Wooper,LV42.5,3,6,3,520
Wooper,LV42,3,6,5,520
Wooper,LV39.5,3,6,15,520
Wooper,LV42.5,3,7,1,520
Wooper,LV39,3,7,15,520
Wooper,LV40,3,8,8,520
Wooper,LV39,3,8,13,520
Wooper,LV38.5,3,8,15,520
Wooper,LV40,3,9,6,520
Wooper,LV38.5,3,9,13,520
Wooper,LV38,3,9,15,520
Wooper,LV40,3,10,4,520
Wooper,LV38.5,3,10,11,520
Wooper,LV38,3,10,13,520
Wooper,LV40,3,11,2,520
Wooper,LV38.5,3,11,9,520
Wooper,LV38,3,11,11,520
Wooper,LV38.5,3,12,7,520
Wooper,LV38,3,12,9,520
Wooper,LV37,3,12,14,520
Wooper,LV38.5,3,13,5,520
Wooper,LV38,3,13,7,520
Wooper,LV37,3,13,12,520
Wooper,LV36.5,3,13,14,520
Wooper,LV39,3,14,1,520
Wooper,LV38.5,3,14,3,520
Wooper,LV38,3,14,5,520
Wooper,LV37,3,14,10,520
Wooper,LV36.5,3,14,12,520
Wooper,LV38.5,3,15,1,520
Wooper,LV37,3,15,8,520
Wooper,LV36.5,3,15,10,520
Wooper,LV35.5,3,15,15,520
Wooper,LV45.5,4,0,1,520
Wooper,LV45,4,0,3,520
Wooper,LV43.5,4,1,6,520
Wooper,LV43,4,1,8,520
Wooper,LV42.5,4,1,10,520
Wooper,LV42,4,1,12,520
Wooper,LV41.5,4,1,14,520
Wooper,LV44.5,4,2,0,520
Wooper,LV44,4,2,2,520
Wooper,LV43.5,4,2,4,520
Wooper,LV43,4,2,6,520
Wooper,LV44,4,3,0,520
Wooper,LV43.5,4,3,2,520
Wooper,LV41.5,4,3,9,520
Wooper,LV41,4,3,11,520
Wooper,LV40.5,4,3,13,520
Wooper,LV40,4,3,15,520
Wooper,LV42,4,4,5,520
Wooper,LV41.5,4,4,7,520
Wooper,LV41,4,4,9,520
Wooper,LV40.5,4,4,11,520
Wooper,LV40,4,4,13,520
Wooper,LV39.5,4,4,15,520
Wooper,LV42.5,4,5,1,520
Wooper,LV42,4,5,3,520
Wooper,LV41.5,4,5,5,520
Wooper,LV41,4,5,7,520
Wooper,LV40.5,4,5,9,520
Wooper,LV40,4,5,11,520
Wooper,LV39.5,4,5,13,520
Wooper,LV39,4,5,15,520
Wooper,LV42,4,6,1,520
Wooper,LV41.5,4,6,3,520
Wooper,LV39.5,4,6,11,520
Wooper,LV39,4,6,13,520
Wooper,LV41.5,4,7,1,520
Wooper,LV39,4,7,11,520
Wooper,LV38.5,4,7,13,520
Wooper,LV39,4,8,9,520
Wooper,LV38.5,4,8,11,520
Wooper,LV38.5,4,9,9,520
Wooper,LV38,4,9,11,520
Wooper,LV38.5,4,10,7,520
Wooper,LV38,4,10,9,520
Wooper,LV37,4,10,14,520
Wooper,LV39,4,11,3,520
Wooper,LV38.5,4,11,5,520
Wooper,LV38,4,11,7,520
Wooper,LV37,4,11,12,520
Wooper,LV36.5,4,11,14,520
Wooper,LV39,4,12,1,520
Wooper,LV38.5,4,12,3,520
Wooper,LV38,4,12,5,520
Wooper,LV37,4,12,10,520
Wooper,LV36.5,4,12,12,520
Wooper,LV38.5,4,13,1,520
Wooper,LV38,4,13,3,520
Wooper,LV37,4,13,8,520
Wooper,LV36.5,4,13,10,520
Wooper,LV35.5,4,13,15,520
Wooper,LV37,4,14,6,520
Wooper,LV36.5,4,14,8,520
Wooper,LV35.5,4,14,13,520
Wooper,LV37.5,4,15,2,520
Wooper,LV37,4,15,4,520
Wooper,LV36.5,4,15,6,520
Wooper,LV35.5,4,15,11,520
Wooper,LV44.5,5,0,1,520
Wooper,LV44,5,0,3,520
Wooper,LV43,5,1,4,520
Wooper,LV42.5,5,1,6,520
Wooper,LV42,5,1,8,520
Wooper,LV41.5,5,1,10,520
Wooper,LV41,5,1,12,520
Wooper,LV40.5,5,1,14,520
Wooper,LV43.5,5,2,0,520
Wooper,LV43,5,2,2,520
Wooper,LV42.5,5,2,4,520
Wooper,LV42,5,2,6,520
Wooper,LV43,5,3,0,520
Wooper,LV40.5,5,3,9,520
Wooper,LV40,5,3,11,520
Wooper,LV41.5,5,4,3,520
Wooper,LV41,5,4,5,520
Wooper,LV40.5,5,4,7,520
Wooper,LV40,5,4,9,520
Wooper,LV39.5,5,4,11,520
Wooper,LV41.5,5,5,1,520
Wooper,LV41,5,5,3,520
Wooper,LV40.5,5,5,5,520
Wooper,LV40,5,5,7,520
Wooper,LV39.5,5,5,9,520
Wooper,LV39,5,5,11,520
Wooper,LV41,5,6,1,520
Wooper,LV40.5,5,6,3,520
Wooper,LV40,5,6,5,520
Wooper,LV39.5,5,6,7,520
Wooper,LV39,5,6,9,520
Wooper,LV38,5,6,14,520
Wooper,LV40.5,5,7,1,520
Wooper,LV39.5,5,7,5,520
Wooper,LV39,5,7,7,520
Wooper,LV38.5,5,7,9,520
Wooper,LV37.5,5,7,14,520
Wooper,LV39.5,5,8,3,520
Wooper,LV39,5,8,5,520
Wooper,LV38.5,5,8,7,520
Wooper,LV37.5,5,8,12,520
Wooper,LV37,5,8,14,520
Wooper,LV39.5,5,9,1,520
Wooper,LV39,5,9,3,520
Wooper,LV38.5,5,9,5,520
Wooper,LV37,5,9,12,520
Wooper,LV39,5,10,1,520
Wooper,LV38.5,5,10,3,520
Wooper,LV37,5,10,10,520
Wooper,LV36.5,5,10,12,520
Wooper,LV38.5,5,11,1,520
Wooper,LV37,5,11,8,520
Wooper,LV36.5,5,11,10,520
Wooper,LV35.5,5,11,15,520
Wooper,LV37,5,12,6,520
Wooper,LV36.5,5,12,8,520
Wooper,LV35.5,5,12,13,520
Wooper,LV37.5,5,13,2,520
Wooper,LV37,5,13,4,520
Wooper,LV36.5,5,13,6,520
Wooper,LV35.5,5,13,11,520
Wooper,LV35,5,13,13,520
Wooper,LV37.5,5,14,0,520
Wooper,LV37,5,14,2,520
Wooper,LV35.5,5,14,9,520
Wooper,LV34.5,5,14,14,520
Wooper,LV37,5,15,0,520
Wooper,LV35.5,5,15,7,520
Wooper,LV34.5,5,15,12,520
Wooper,LV34,5,15,14,520
Wooper,LV43.5,6,0,1,520
Wooper,LV43,6,0,3,520
Wooper,LV42,6,1,4,520
Wooper,LV41.5,6,1,6,520
Wooper,LV41,6,1,8,520
Wooper,LV40.5,6,1,10,520
Wooper,LV40,6,1,12,520
Wooper,LV39.5,6,1,14,520
Wooper,LV42.5,6,2,0,520
Wooper,LV42,6,2,2,520
Wooper,LV41.5,6,2,4,520
Wooper,LV41,6,2,6,520
Wooper,LV40.5,6,2,8,520
Wooper,LV39.5,6,2,12,520
Wooper,LV39,6,2,14,520
Wooper,LV42,6,3,0,520
Wooper,LV41.5,6,3,2,520
Wooper,LV39,6,3,12,520
Wooper,LV38.5,6,3,14,520
Wooper,LV40,6,4,5,520
Wooper,LV38.5,6,4,12,520
Wooper,LV38,6,4,14,520
Wooper,LV40.5,6,5,1,520
Wooper,LV40,6,5,3,520
Wooper,LV39.5,6,5,5,520
Wooper,LV38,6,5,12,520
Wooper,LV40,6,6,1,520
Wooper,LV39.5,6,6,3,520
Wooper,LV38,6,6,10,520
Wooper,LV37.5,6,6,12,520
Wooper,LV39.5,6,7,1,520
Wooper,LV39,6,7,3,520
Wooper,LV37.5,6,7,10,520
Wooper,LV37,6,7,12,520
Wooper,LV39,6,8,1,520
Wooper,LV37.5,6,8,8,520
Wooper,LV37,6,8,10,520
Wooper,LV36,6,8,15,520
Wooper,LV37.5,6,9,6,520
Wooper,LV37,6,9,8,520
Wooper,LV36,6,9,13,520
Wooper,LV35.5,6,9,15,520
Wooper,LV37.5,6,10,4,520
Wooper,LV37,6,10,6,520
Wooper,LV35.5,6,10,13,520
Wooper,LV37.5,6,11,2,520
Wooper,LV37,6,11,4,520
Wooper,LV35.5,6,11,11,520
Wooper,LV37.5,6,12,0,520
Wooper,LV37,6,12,2,520
Wooper,LV35.5,6,12,9,520
Wooper,LV34.5,6,12,14,520
Wooper,LV37,6,13,0,520
Wooper,LV36,6,13,5,520
Wooper,LV35.5,6,13,7,520
Wooper,LV34.5,6,13,12,520
Wooper,LV34,6,13,14,520
Wooper,LV36,6,14,3,520
Wooper,LV35.5,6,14,5,520
Wooper,LV34.5,6,14,10,520
Wooper,LV34,6,14,12,520
Wooper,LV33.5,6,14,15,520
Wooper,LV36,6,15,1,520
Wooper,LV35.5,6,15,3,520
Wooper,LV34.5,6,15,8,520
Wooper,LV33.5,6,15,13,520
Wooper,LV42.5,7,0,1,520
Wooper,LV42,7,0,3,520
Wooper,LV39.5,7,0,13,520
Wooper,LV39,7,0,15,520
Wooper,LV40.5,7,1,6,520
Wooper,LV40,7,1,8,520
Wooper,LV38.5,7,1,15,520
Wooper,LV41.5,7,2,0,520
Wooper,LV41,7,2,2,520
Wooper,LV40.5,7,2,4,520
Wooper,LV40,7,2,6,520
Wooper,LV39.5,7,2,8,520
Wooper,LV38,7,2,15,520
Wooper,LV41,7,3,0,520
Wooper,LV40.5,7,3,2,520
Wooper,LV39.5,7,3,6,520
Wooper,LV39,7,3,8,520
Wooper,LV37.5,7,3,15,520
Wooper,LV39,7,4,6,520
Wooper,LV38.5,7,4,8,520
Wooper,LV37,7,4,15,520
Wooper,LV39,7,5,4,520
Wooper,LV38.5,7,5,6,520
Wooper,LV38,7,5,8,520
Wooper,LV37,7,5,13,520
Wooper,LV36.5,7,5,15,520
Wooper,LV38.5,7,6,4,520
Wooper,LV38,7,6,6,520
Wooper,LV37.5,7,6,8,520
Wooper,LV36.5,7,6,13,520
Wooper,LV38.5,7,7,2,520
Wooper,LV38,7,7,4,520
Wooper,LV37.5,7,7,6,520
Wooper,LV36.5,7,7,11,520
Wooper,LV36,7,7,13,520
Wooper,LV38.5,7,8,0,520
Wooper,LV38,7,8,2,520
Wooper,LV37.5,7,8,4,520
Wooper,LV36,7,8,11,520
Wooper,LV38,7,9,0,520
Wooper,LV37.5,7,9,2,520
Wooper,LV36,7,9,9,520
Wooper,LV35.5,7,9,11,520
Wooper,LV35,7,9,14,520
Wooper,LV37.5,7,10,0,520
Wooper,LV36,7,10,7,520
Wooper,LV35.5,7,10,9,520
Wooper,LV34.5,7,10,14,520
Wooper,LV36,7,11,5,520
Wooper,LV35.5,7,11,7,520
Wooper,LV34.5,7,11,12,520
Wooper,LV36.5,7,12,1,520
Wooper,LV36,7,12,3,520
Wooper,LV35.5,7,12,5,520
Wooper,LV34.5,7,12,10,520
Wooper,LV33.5,7,12,15,520
Wooper,LV36,7,13,1,520
Wooper,LV34.5,7,13,8,520
Wooper,LV33.5,7,13,13,520
Wooper,LV35,7,14,4,520
Wooper,LV34.5,7,14,6,520
Wooper,LV33.5,7,14,11,520
Wooper,LV35,7,15,2,520
Wooper,LV34.5,7,15,4,520
Wooper,LV33.5,7,15,9,520
Wooper,LV32.5,7,15,14,520
Wooper,LV41.5,8,0,1,520
Wooper,LV41,8,0,3,520
Wooper,LV40.5,8,0,5,520
Wooper,LV40,8,0,7,520
Wooper,LV39.5,8,0,9,520
Wooper,LV39,8,0,11,520
Wooper,LV41,8,1,1,520
Wooper,LV39,8,1,9,520
Wooper,LV38.5,8,1,11,520
Wooper,LV40,8,2,2,520
Wooper,LV38.5,8,2,9,520
Wooper,LV38,8,2,11,520
Wooper,LV40,8,3,0,520
Wooper,LV39.5,8,3,2,520
Wooper,LV38,8,3,9,520
Wooper,LV37.5,8,3,11,520
Wooper,LV39.5,8,4,0,520
Wooper,LV39,8,4,2,520
Wooper,LV37.5,8,4,9,520
Wooper,LV37,8,4,11,520
Wooper,LV39,8,5,0,520
Wooper,LV38.5,8,5,2,520
Wooper,LV37,8,5,9,520
Wooper,LV36,8,5,14,520
Wooper,LV38.5,8,6,0,520
Wooper,LV37,8,6,7,520
Wooper,LV36.5,8,6,9,520
Wooper,LV35.5,8,6,14,520
Wooper,LV37,8,7,5,520
Wooper,LV36.5,8,7,7,520
Wooper,LV35.5,8,7,12,520
Wooper,LV35,8,7,14,520
Wooper,LV36.5,8,8,5,520
Wooper,LV36,8,8,7,520
Wooper,LV35,8,8,12,520
Wooper,LV37,8,9,1,520
Wooper,LV36.5,8,9,3,520
Wooper,LV36,8,9,5,520
Wooper,LV35,8,9,10,520
Wooper,LV34,8,9,15,520
Wooper,LV36.5,8,10,1,520
Wooper,LV36,8,10,3,520
Wooper,LV35,8,10,8,520
Wooper,LV34.5,8,10,10,520
Wooper,LV33.5,8,10,15,520
Wooper,LV36,8,11,1,520
Wooper,LV35,8,11,6,520
Wooper,LV34.5,8,11,8,520
Wooper,LV33.5,8,11,13,520
Wooper,LV35,8,12,4,520
Wooper,LV34.5,8,12,6,520
Wooper,LV33.5,8,12,11,520
Wooper,LV35.5,8,13,0,520
Wooper,LV35,8,13,2,520
Wooper,LV33.5,8,13,9,520
Wooper,LV32.5,8,13,14,520
Wooper,LV35,8,14,0,520
Wooper,LV34,8,14,5,520
Wooper,LV33.5,8,14,7,520
Wooper,LV32.5,8,14,12,520
Wooper,LV34,8,15,3,520
Wooper,LV33.5,8,15,5,520
Wooper,LV32.5,8,15,10,520
Wooper,LV31.5,8,15,15,520
Wooper,LV40.5,9,0,1,520
Wooper,LV40,9,0,3,520
Wooper,LV39.5,9,0,5,520
Wooper,LV38.5,9,0,10,520
Wooper,LV38,9,0,12,520
Wooper,LV40,9,1,1,520
Wooper,LV39.5,9,1,3,520
Wooper,LV39,9,1,5,520
Wooper,LV37.5,9,1,12,520
Wooper,LV39.5,9,2,1,520
Wooper,LV39,9,2,3,520
Wooper,LV38.5,9,2,5,520
Wooper,LV37,9,2,12,520
Wooper,LV39,9,3,1,520
Wooper,LV38.5,9,3,3,520
Wooper,LV38,9,3,5,520
Wooper,LV37,9,3,10,520
Wooper,LV36.5,9,3,12,520
Wooper,LV38.5,9,4,1,520
Wooper,LV38,9,4,3,520
Wooper,LV37.5,9,4,5,520
Wooper,LV36.5,9,4,10,520
Wooper,LV36,9,4,12,520
Wooper,LV38,9,5,1,520
Wooper,LV37.5,9,5,3,520
Wooper,LV36,9,5,10,520
Wooper,LV35,9,5,15,520
Wooper,LV37.5,9,6,1,520
Wooper,LV37,9,6,3,520
Wooper,LV36,9,6,8,520
Wooper,LV35.5,9,6,10,520
Wooper,LV34.5,9,6,15,520
Wooper,LV37,9,7,1,520
Wooper,LV35.5,9,7,8,520
Wooper,LV34.5,9,7,13,520
Wooper,LV34,9,7,15,520
Wooper,LV35.5,9,8,6,520
Wooper,LV35,9,8,8,520
Wooper,LV34,9,8,13,520
Wooper,LV35.5,9,9,4,520
Wooper,LV35,9,9,6,520
Wooper,LV34,9,9,11,520
Wooper,LV35.5,9,10,2,520
Wooper,LV35,9,10,4,520
Wooper,LV34,9,10,9,520
Wooper,LV33,9,10,14,520
Wooper,LV35.5,9,11,0,520
Wooper,LV35,9,11,2,520
Wooper,LV34,9,11,7,520
Wooper,LV33,9,11,12,520
Wooper,LV34,9,12,5,520
Wooper,LV33,9,12,10,520
Wooper,LV32.5,9,12,12,520
Wooper,LV32,9,12,15,520
Wooper,LV34.5,9,13,1,520
Wooper,LV34,9,13,3,520
Wooper,LV33,9,13,8,520
Wooper,LV32.5,9,13,10,520
Wooper,LV32,9,13,13,520
Wooper,LV34,9,14,1,520
Wooper,LV33,9,14,6,520
Wooper,LV32,9,14,11,520
Wooper,LV33,9,15,4,520
Wooper,LV32,9,15,9,520
Wooper,LV31,9,15,14,520
Wooper,LV39.5,10,0,2,520
Wooper,LV39,10,0,4,520
Wooper,LV38.5,10,0,6,520
Wooper,LV37,10,0,13,520
Wooper,LV38.5,10,1,4,520
Wooper,LV38,10,1,6,520
Wooper,LV37.5,10,1,8,520
Wooper,LV36.5,10,1,13,520
Wooper,LV38,10,2,4,520
Wooper,LV37.5,10,2,6,520
Wooper,LV36,10,2,13,520
Wooper,LV37.5,10,3,4,520
Wooper,LV37,10,3,6,520
Wooper,LV36,10,3,11,520
Wooper,LV35.5,10,3,13,520
Wooper,LV37,10,4,4,520
Wooper,LV36.5,10,4,6,520
Wooper,LV35.5,10,4,11,520
Wooper,LV35,10,4,13,520
Wooper,LV37,10,5,2,520
Wooper,LV36.5,10,5,4,520
Wooper,LV36,10,5,6,520
Wooper,LV35,10,5,11,520
Wooper,LV37,10,6,0,520
Wooper,LV36.5,10,6,2,520
Wooper,LV36,10,6,4,520
Wooper,LV35,10,6,9,520
Wooper,LV34.5,10,6,11,520
Wooper,LV34,10,6,14,520
