Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Wormadam Plant Cloak,LV12,0,0,10,520
Wormadam Plant Cloak,LV12,0,1,9,520
Wormadam Plant Cloak,LV12,0,2,8,520
Wormadam Plant Cloak,LV12,0,6,5,520
Wormadam Plant Cloak,LV12,0,7,4,520
Wormadam Plant Cloak,LV12,0,8,3,520
Wormadam Plant Cloak,LV12,0,9,2,520
Wormadam Plant Cloak,LV11.5,0,10,15,520
Wormadam Plant Cloak,LV12,0,12,0,520
Wormadam Plant Cloak,LV11.5,0,14,12,520
Wormadam Plant Cloak,LV11.5,0,15,11,520
Wormadam Plant Cloak,LV12,1,0,8,520
Wormadam Plant Cloak,LV12,1,1,7,520
Wormadam Plant Cloak,LV12,1,2,6,520
Wormadam Plant Cloak,LV12,1,3,5,520
Wormadam Plant Cloak,LV12,1,4,4,520
Wormadam Plant Cloak,LV12,1,8,1,520
Wormadam Plant Cloak,LV12,1,9,0,520
Wormadam Plant Cloak,LV11.5,1,9,14,520
Wormadam Plant Cloak,LV11.5,1,10,13,520
Wormadam Plant Cloak,LV11.5,1,11,12,520
Wormadam Plant Cloak,LV11.5,1,12,11,520
Wormadam Plant Cloak,LV11.5,1,13,10,520
Wormadam Plant Cloak,LV12,2,3,3,520
Wormadam Plant Cloak,LV12,2,4,2,520
Wormadam Plant Cloak,LV12,2,5,1,520
Wormadam Plant Cloak,LV11.5,2,5,15,520
Wormadam Plant Cloak,LV12,2,6,0,520
Wormadam Plant Cloak,LV11.5,2,6,14,520
Wormadam Plant Cloak,LV11.5,2,7,13,520
Wormadam Plant Cloak,LV11.5,2,8,12,520
Wormadam Plant Cloak,LV11.5,2,12,9,520
Wormadam Plant Cloak,LV11.5,2,13,8,520
Wormadam Plant Cloak,LV11.5,2,14,7,520
Wormadam Plant Cloak,LV11.5,2,15,6,520
Wormadam Plant Cloak,LV12,3,0,3,520
Wormadam Plant Cloak,LV12,3,4,0,520
Wormadam Plant Cloak,LV11.5,3,6,12,520
Wormadam Plant Cloak,LV11.5,3,7,11,520
Wormadam Plant Cloak,LV11.5,3,8,10,520
Wormadam Plant Cloak,LV11.5,3,9,9,520
Wormadam Plant Cloak,LV11.5,3,10,8,520
Wormadam Plant Cloak,LV11.5,3,14,5,520
Wormadam Plant Cloak,LV11.5,3,15,4,520
Wormadam Plant Cloak,LV12,4,0,1,520
Wormadam Plant Cloak,LV11.5,4,0,15,520
Wormadam Plant Cloak,LV12,4,1,0,520
Wormadam Plant Cloak,LV11.5,4,1,14,520
Wormadam Plant Cloak,LV11.5,4,2,13,520
Wormadam Plant Cloak,LV11.5,4,3,12,520
Wormadam Plant Cloak,LV11.5,4,4,11,520
