Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Wurmple,LV50,0,9,14,520
Wurmple,LV50,0,10,12,520
Wurmple,LV50,0,11,10,520
Wurmple,LV48.5,0,11,15,520
Wurmple,LV50,0,12,8,520
Wurmple,LV48.5,0,12,13,520
Wurmple,LV48,0,12,15,520
Wurmple,LV50,0,13,6,520
Wurmple,LV49.5,0,13,8,520
Wurmple,LV48.5,0,13,11,520
Wurmple,LV48,0,13,13,520
Wurmple,LV49.5,0,14,6,520
Wurmple,LV48.5,0,14,9,520
Wurmple,LV48,0,14,11,520
Wurmple,LV47,0,14,14,520
Wurmple,LV49.5,0,15,4,520
Wurmple,LV48,0,15,9,520
Wurmple,LV46.5,0,15,14,520
Wurmple,LV49.5,1,8,14,520
Wurmple,LV49.5,1,9,12,520
Wurmple,LV49.5,1,10,10,520
Wurmple,LV48,1,10,15,520
Wurmple,LV49.5,1,11,8,520
Wurmple,LV48,1,11,13,520
Wurmple,LV49.5,1,12,6,520
Wurmple,LV48,1,12,11,520
Wurmple,LV49.5,1,13,4,520
Wurmple,LV49,1,13,6,520
Wurmple,LV48,1,13,9,520
Wurmple,LV46.5,1,13,14,520
Wurmple,LV50,1,14,1,520
Wurmple,LV49,1,14,4,520
Wurmple,LV48,1,14,7,520
Wurmple,LV47.5,1,14,9,520
Wurmple,LV46.5,1,14,12,520
Wurmple,LV46,1,14,14,520
Wurmple,LV49,1,15,2,520
Wurmple,LV48.5,1,15,4,520
Wurmple,LV47.5,1,15,7,520
Wurmple,LV46,1,15,12,520
Wurmple,LV50,2,5,15,520
Wurmple,LV50,2,6,13,520
Wurmple,LV50,2,7,11,520
Wurmple,LV49,2,7,14,520
Wurmple,LV50,2,8,9,520
Wurmple,LV49,2,8,12,520
Wurmple,LV48.5,2,8,14,520
Wurmple,LV50,2,9,7,520
Wurmple,LV49,2,9,10,520
Wurmple,LV47.5,2,9,15,520
Wurmple,LV50,2,10,5,520
Wurmple,LV49,2,10,8,520
Wurmple,LV47.5,2,10,13,520
Wurmple,LV47,2,10,15,520
Wurmple,LV50,2,11,3,520
Wurmple,LV49,2,11,6,520
Wurmple,LV47.5,2,11,11,520
Wurmple,LV50,2,12,1,520
Wurmple,LV49,2,12,4,520
Wurmple,LV48.5,2,12,6,520
Wurmple,LV47.5,2,12,9,520
Wurmple,LV46,2,12,14,520
Wurmple,LV49.5,2,13,1,520
Wurmple,LV48.5,2,13,4,520
Wurmple,LV47.5,2,13,7,520
Wurmple,LV47,2,13,9,520
Wurmple,LV46,2,13,12,520
Wurmple,LV45.5,2,13,14,520
Wurmple,LV48.5,2,14,2,520
Wurmple,LV47,2,14,7,520
Wurmple,LV46,2,14,10,520
Wurmple,LV45.5,2,14,12,520
Wurmple,LV48,2,15,2,520
Wurmple,LV47,2,15,5,520
Wurmple,LV45.5,2,15,10,520
Wurmple,LV45,2,15,12,520
Wurmple,LV44,2,15,15,520
Wurmple,LV50,3,4,14,520
Wurmple,LV49.5,3,5,13,520
Wurmple,LV49,3,5,15,520
Wurmple,LV49.5,3,6,11,520
Wurmple,LV49.5,3,7,9,520
Wurmple,LV48.5,3,7,12,520
Wurmple,LV48,3,7,14,520
Wurmple,LV49.5,3,8,7,520
Wurmple,LV48.5,3,8,10,520
Wurmple,LV48,3,8,12,520
Wurmple,LV47,3,8,15,520
Wurmple,LV49.5,3,9,5,520
Wurmple,LV48.5,3,9,8,520
Wurmple,LV48,3,9,10,520
Wurmple,LV47,3,9,13,520
Wurmple,LV46.5,3,9,15,520
Wurmple,LV49.5,3,10,3,520
Wurmple,LV48.5,3,10,6,520
Wurmple,LV48,3,10,8,520
Wurmple,LV47,3,10,11,520
Wurmple,LV46.5,3,10,13,520
Wurmple,LV49.5,3,11,1,520
Wurmple,LV48.5,3,11,4,520
Wurmple,LV48,3,11,6,520
Wurmple,LV47,3,11,9,520
Wurmple,LV46.5,3,11,11,520
Wurmple,LV45.5,3,11,14,520
Wurmple,LV49,3,12,1,520
Wurmple,LV48,3,12,4,520
Wurmple,LV47,3,12,7,520
Wurmple,LV46.5,3,12,9,520
Wurmple,LV45.5,3,12,12,520
Wurmple,LV45,3,12,14,520
Wurmple,LV48,3,13,2,520
Wurmple,LV46.5,3,13,7,520
Wurmple,LV45,3,13,12,520
Wurmple,LV47.5,3,14,2,520
Wurmple,LV46.5,3,14,5,520
Wurmple,LV45,3,14,10,520
Wurmple,LV44.5,3,14,12,520
Wurmple,LV43.5,3,14,15,520
Wurmple,LV47.5,3,15,0,520
Wurmple,LV46,3,15,5,520
Wurmple,LV45,3,15,8,520
Wurmple,LV44.5,3,15,10,520
Wurmple,LV43,3,15,15,520
Wurmple,LV50,4,2,15,520
Wurmple,LV49.5,4,3,14,520
Wurmple,LV50,4,4,10,520
Wurmple,LV49.5,4,4,12,520
Wurmple,LV48.5,4,4,15,520
Wurmple,LV50,4,5,8,520
