Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Xatu,LV9.5,0,0,13,520
Xatu,LV9.5,0,1,12,520
Xatu,LV9.5,0,2,11,520
Xatu,LV9.5,0,5,7,520
Xatu,LV9.5,0,6,6,520
Xatu,LV9.5,0,7,5,520
Xatu,LV9.5,0,8,4,520
Xatu,LV9.5,0,9,3,520
Xatu,LV9.5,0,10,2,520
Xatu,LV9.5,0,11,1,520
Xatu,LV9.5,0,12,0,520
Xatu,LV9.5,1,0,11,520
Xatu,LV9.5,1,1,10,520
Xatu,LV9.5,1,2,9,520
Xatu,LV9.5,1,3,8,520
Xatu,LV9.5,1,7,3,520
Xatu,LV9.5,1,8,2,520
Xatu,LV9.5,1,9,1,520
Xatu,LV9.5,1,10,0,520
Xatu,LV9,1,14,15,520
Xatu,LV9,1,15,14,520
Xatu,LV9.5,2,1,8,520
Xatu,LV9.5,2,2,7,520
Xatu,LV9.5,2,3,6,520
Xatu,LV9.5,2,4,5,520
Xatu,LV9.5,2,5,4,520
Xatu,LV9.5,3,0,8,520
Xatu,LV9.5,3,3,4,520
Xatu,LV9.5,3,4,3,520
Xatu,LV9.5,3,5,2,520
Xatu,LV9.5,3,6,1,520
Xatu,LV9.5,3,7,0,520
Xatu,LV9,3,11,15,520
Xatu,LV9,3,12,14,520
Xatu,LV9,3,13,13,520
Xatu,LV9,3,14,12,520
Xatu,LV9.5,4,0,6,520
Xatu,LV9.5,4,1,5,520
Xatu,LV9,4,11,13,520
Xatu,LV9,4,12,12,520
Xatu,LV9,4,13,11,520
Xatu,LV9,4,14,10,520
Xatu,LV9,4,15,9,520
Xatu,LV9.5,5,0,4,520
Xatu,LV9.5,5,1,3,520
Xatu,LV9.5,5,2,2,520
Xatu,LV9.5,5,3,1,520
Xatu,LV9.5,5,4,0,520
Xatu,LV9,5,8,15,520
Xatu,LV9,5,9,14,520
Xatu,LV9,5,13,9,520
Xatu,LV9,5,14,8,520
Xatu,LV9,5,15,7,520
Xatu,LV9,6,7,14,520
Xatu,LV9,6,8,13,520
Xatu,LV9,6,9,12,520
Xatu,LV9,6,10,11,520
Xatu,LV9,6,11,10,520
Xatu,LV9.5,7,0,1,520
Xatu,LV9.5,7,1,0,520
Xatu,LV9,7,5,15,520
Xatu,LV9,7,8,11,520
Xatu,LV9,7,9,10,520
Xatu,LV9,7,10,9,520
Xatu,LV9,7,11,8,520
Xatu,LV9,7,12,7,520
Xatu,LV9,7,13,6,520
Xatu,LV9,7,14,5,520
Xatu,LV9,7,15,4,520
Xatu,LV9,8,3,15,520
Xatu,LV9,8,4,14,520
Xatu,LV9,8,5,13,520
Xatu,LV9,8,6,12,520
Xatu,LV9,8,7,11,520
Xatu,LV9,8,11,6,520
Xatu,LV9,8,12,5,520
Xatu,LV9,8,13,4,520
Xatu,LV9,8,14,3,520
Xatu,LV9,8,15,2,520
Xatu,LV9,9,2,15,520
Xatu,LV9,9,5,11,520
Xatu,LV9,9,6,10,520
Xatu,LV9,9,7,9,520
Xatu,LV9,9,8,8,520
Xatu,LV9,9,9,7,520
Xatu,LV9,10,1,14,520
Xatu,LV9,10,2,13,520
Xatu,LV9,10,3,12,520
Xatu,LV9,10,7,7,520
Xatu,LV9,10,8,6,520
Xatu,LV9,10,9,5,520
Xatu,LV9,10,10,4,520
Xatu,LV9,10,11,3,520
Xatu,LV9,10,12,2,520
Xatu,LV9,10,13,1,520
Xatu,LV9,10,14,0,520
Xatu,LV9,11,2,11,520
Xatu,LV9,11,3,10,520
Xatu,LV9,11,4,9,520
Xatu,LV9,11,5,8,520
Xatu,LV9,11,6,7,520
Xatu,LV9,11,11,1,520
Xatu,LV9,11,12,0,520
Xatu,LV9,12,0,12,520
Xatu,LV9,12,1,11,520
Xatu,LV9,12,4,7,520
Xatu,LV9,12,5,6,520
Xatu,LV9,12,6,5,520
Xatu,LV9,12,7,4,520
Xatu,LV9,12,8,3,520
Xatu,LV9,12,9,2,520
Xatu,LV9,12,10,1,520
Xatu,LV9,13,0,10,520
Xatu,LV9,13,1,9,520
Xatu,LV9,13,2,8,520
Xatu,LV9,13,3,7,520
Xatu,LV9,13,7,2,520
Xatu,LV9,13,8,1,520
Xatu,LV9,13,9,0,520
Xatu,LV9,14,2,6,520
Xatu,LV9,14,3,5,520
Xatu,LV9,14,4,4,520
Xatu,LV9,14,5,3,520
Xatu,LV9,14,6,2,520
Xatu,LV9,14,7,1,520
Xatu,LV8.5,14,13,15,520
Xatu,LV8.5,14,14,14,520
Xatu,LV8.5,14,15,13,520
Xatu,LV9,15,0,7,520
Xatu,LV9,15,1,6,520
Xatu,LV9,15,5,1,520
Xatu,LV9,15,6,0,520
Xatu,LV8.5,15,12,14,520
Xatu,LV8.5,15,13,13,520
Xatu,LV8.5,15,14,12,520
Xatu,LV8.5,15,15,11,520
