Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Yamper,LV31.5,0,0,3,520
Yamper,LV31,0,0,6,520
Yamper,LV30,0,0,11,520
Yamper,LV31,0,1,4,520
Yamper,LV30,0,1,9,520
Yamper,LV29.5,0,1,15,520
Yamper,LV31.5,0,2,0,520
Yamper,LV30.5,0,2,5,520
Yamper,LV29.5,0,2,13,520
Yamper,LV30.5,0,3,3,520
Yamper,LV30,0,3,6,520
Yamper,LV29.5,0,3,11,520
Yamper,LV30,0,4,4,520
Yamper,LV29,0,4,15,520
Yamper,LV30.5,0,5,0,520
Yamper,LV29.5,0,5,8,520
Yamper,LV30,0,6,1,520
Yamper,LV29.5,0,6,6,520
Yamper,LV29,0,7,10,520
Yamper,LV29.5,0,8,3,520
Yamper,LV29,0,8,8,520
Yamper,LV28.5,0,8,14,520
Yamper,LV29.5,0,9,1,520
Yamper,LV28.5,0,9,12,520
Yamper,LV29.5,0,10,0,520
Yamper,LV29,0,10,5,520
Yamper,LV28.5,0,11,9,520
Yamper,LV28,0,11,15,520
Yamper,LV29,0,12,2,520
Yamper,LV28,0,12,13,520
Yamper,LV28.5,0,13,6,520
Yamper,LV28,0,14,10,520
Yamper,LV28.5,0,15,3,520
Yamper,LV31,1,0,2,520
Yamper,LV30,1,0,7,520
Yamper,LV31,1,1,0,520
Yamper,LV30.5,1,1,3,520
Yamper,LV29.5,1,1,11,520
Yamper,LV30.5,1,2,1,520
Yamper,LV29.5,1,2,9,520
Yamper,LV30,1,3,2,520
Yamper,LV29.5,1,3,7,520
Yamper,LV29,1,3,13,520
Yamper,LV30,1,4,0,520
Yamper,LV29,1,4,11,520
Yamper,LV29.5,1,5,4,520
Yamper,LV29,1,5,9,520
Yamper,LV28.5,1,5,15,520
Yamper,LV29.5,1,6,2,520
Yamper,LV28.5,1,6,13,520
Yamper,LV29,1,7,6,520
Yamper,LV28.5,1,8,10,520
Yamper,LV29,1,9,3,520
Yamper,LV28.5,1,9,8,520
Yamper,LV28,1,9,14,520
Yamper,LV29,1,10,1,520
Yamper,LV28.5,1,11,5,520
Yamper,LV28,1,11,11,520
Yamper,LV28,1,12,9,520
Yamper,LV27.5,1,12,15,520
Yamper,LV28.5,1,13,2,520
Yamper,LV28,1,14,6,520
Yamper,LV27.5,1,14,12,520
Yamper,LV27.5,1,15,10,520
Yamper,LV30,2,0,3,520
Yamper,LV29,2,0,14,520
Yamper,LV29.5,2,1,7,520
Yamper,LV29,2,1,12,520
Yamper,LV30,2,2,0,520
Yamper,LV29.5,2,2,5,520
Yamper,LV29,2,3,9,520
Yamper,LV29,2,4,7,520
Yamper,LV28.5,2,4,13,520
Yamper,LV29.5,2,5,0,520
Yamper,LV28.5,2,5,11,520
Yamper,LV28.5,2,6,9,520
Yamper,LV28,2,6,15,520
Yamper,LV29,2,7,2,520
Yamper,LV28.5,2,8,6,520
Yamper,LV28,2,9,10,520
Yamper,LV28.5,2,10,3,520
Yamper,LV27.5,2,10,14,520
Yamper,LV28.5,2,11,1,520
Yamper,LV28,2,11,7,520
Yamper,LV28,2,12,5,520
Yamper,LV27.5,2,12,11,520
Yamper,LV28,2,14,2,520
Yamper,LV27.5,2,14,8,520
Yamper,LV27,2,14,14,520
Yamper,LV27,2,15,12,520
Yamper,LV29,3,0,10,520
Yamper,LV29.5,3,1,3,520
Yamper,LV28.5,3,1,14,520
Yamper,LV29.5,3,2,1,520
Yamper,LV28.5,3,2,12,520
Yamper,LV29,3,3,5,520
Yamper,LV29,3,4,3,520
Yamper,LV28.5,3,4,9,520
Yamper,LV28.5,3,5,7,520
Yamper,LV28,3,5,13,520
Yamper,LV29,3,6,0,520
Yamper,LV28,3,6,11,520
Yamper,LV28.5,3,7,4,520
Yamper,LV28.5,3,8,2,520
Yamper,LV28,3,8,8,520
Yamper,LV28,3,9,6,520
Yamper,LV27.5,3,9,12,520
Yamper,LV27.5,3,10,10,520
Yamper,LV28,3,11,3,520
Yamper,LV27,3,11,15,520
Yamper,LV27.5,3,12,7,520
Yamper,LV27,3,12,13,520
Yamper,LV28,3,13,0,520
Yamper,LV27.5,3,14,4,520
Yamper,LV27,3,14,10,520
Yamper,LV29.5,4,0,1,520
Yamper,LV29,4,0,6,520
Yamper,LV28.5,4,0,12,520
Yamper,LV28.5,4,1,10,520
Yamper,LV29,4,2,3,520
Yamper,LV28,4,2,14,520
Yamper,LV29,4,3,1,520
Yamper,LV28.5,4,4,5,520
Yamper,LV28.5,4,5,3,520
Yamper,LV28,4,5,9,520
Yamper,LV27.5,4,5,15,520
Yamper,LV28,4,6,7,520
Yamper,LV27.5,4,6,13,520
Yamper,LV28.5,4,7,0,520
Yamper,LV28,4,8,4,520
Yamper,LV27.5,4,9,8,520
Yamper,LV27,4,9,14,520
Yamper,LV28,4,10,1,520
Yamper,LV27.5,4,11,5,520
Yamper,LV27,4,11,11,520
Yamper,LV27.5,4,12,3,520
Yamper,LV27,4,12,9,520
Yamper,LV26.5,4,12,15,520
Yamper,LV27.5,4,13,2,520
Yamper,LV26.5,4,13,14,520
Yamper,LV27.5,4,14,0,520
Yamper,LV27,4,14,6,520
Yamper,LV26.5,4,14,12,520
Yamper,LV28.5,5,0,8,520
Yamper,LV28,5,0,14,520
Yamper,LV29,5,1,1,520
Yamper,LV28.5,5,1,6,520
Yamper,LV28,5,1,12,520
Yamper,LV28,5,2,10,520
Yamper,LV28.5,5,3,3,520
Yamper,LV28.5,5,4,1,520
Yamper,LV28,5,4,7,520
Yamper,LV28,5,5,5,520
Yamper,LV27.5,5,5,11,520
Yamper,LV27.5,5,6,9,520
Yamper,LV27,5,6,15,520
Yamper,LV28,5,7,2,520
Yamper,LV28,5,8,0,520
Yamper,LV27.5,5,8,6,520
Yamper,LV27,5,8,12,520
Yamper,LV27.5,5,9,4,520
Yamper,LV27,5,9,10,520
Yamper,LV27.5,5,11,1,520
Yamper,LV27,5,11,7,520
Yamper,LV26.5,5,11,13,520
Yamper,LV27,5,13,4,520
Yamper,LV26.5,5,13,10,520
Yamper,LV26.5,5,14,8,520
Yamper,LV27,5,15,1,520
Yamper,LV26,5,15,13,520
Yamper,LV28,6,0,10,520
Yamper,LV28,6,1,8,520
Yamper,LV27.5,6,1,14,520
Yamper,LV28.5,6,2,1,520
Yamper,LV27.5,6,2,12,520
Yamper,LV28,6,3,5,520
Yamper,LV28,6,4,3,520
