Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Yanmega,LV7,0,3,15,520
Yanmega,LV7,0,4,13,520
Yanmega,LV7,0,5,12,520
Yanmega,LV7,0,6,11,520
Yanmega,LV7,0,8,8,520
Yanmega,LV7,0,9,7,520
Yanmega,LV7,0,10,6,520
Yanmega,LV7,0,12,3,520
Yanmega,LV7,0,13,2,520
Yanmega,LV7,0,14,1,520
Yanmega,LV7,0,15,0,520
Yanmega,LV7,1,2,14,520
Yanmega,LV7,1,3,13,520
Yanmega,LV7,1,5,10,520
Yanmega,LV7,1,6,9,520
Yanmega,LV7,1,7,8,520
Yanmega,LV7,1,8,6,520
Yanmega,LV7,1,9,5,520
Yanmega,LV7,1,10,4,520
Yanmega,LV7,1,11,3,520
Yanmega,LV7,1,13,0,520
Yanmega,LV7,2,0,15,520
Yanmega,LV7,2,1,14,520
Yanmega,LV7,2,2,12,520
Yanmega,LV7,2,3,11,520
Yanmega,LV7,2,4,10,520
Yanmega,LV7,2,6,7,520
Yanmega,LV7,2,7,6,520
Yanmega,LV7,2,8,5,520
Yanmega,LV7,2,9,3,520
Yanmega,LV7,2,10,2,520
Yanmega,LV7,2,11,1,520
Yanmega,LV7,2,12,0,520
Yanmega,LV7,3,0,13,520
Yanmega,LV7,3,1,12,520
Yanmega,LV7,3,3,9,520
Yanmega,LV7,3,4,8,520
Yanmega,LV7,3,5,7,520
Yanmega,LV7,3,6,5,520
Yanmega,LV7,3,7,4,520
Yanmega,LV7,3,8,3,520
Yanmega,LV7,3,9,2,520
Yanmega,LV7,4,1,10,520
Yanmega,LV7,4,2,9,520
Yanmega,LV7,4,4,6,520
Yanmega,LV7,4,5,5,520
Yanmega,LV7,4,6,4,520
Yanmega,LV7,4,7,2,520
Yanmega,LV7,4,8,1,520
Yanmega,LV7,4,9,0,520
Yanmega,LV7,5,0,10,520
Yanmega,LV7,5,1,8,520
Yanmega,LV7,5,2,7,520
Yanmega,LV7,5,3,6,520
Yanmega,LV7,5,5,3,520
Yanmega,LV7,5,6,2,520
Yanmega,LV7,5,7,1,520
Yanmega,LV7,6,0,8,520
Yanmega,LV7,6,2,5,520
Yanmega,LV7,6,3,4,520
Yanmega,LV7,6,4,3,520
Yanmega,LV7,6,6,0,520
Yanmega,LV7,7,0,6,520
Yanmega,LV7,7,1,5,520
Yanmega,LV7,7,3,2,520
Yanmega,LV7,7,4,1,520
Yanmega,LV7,7,5,0,520
Yanmega,LV7,8,1,3,520
Yanmega,LV7,8,2,2,520
Yanmega,LV7,9,0,3,520
Yanmega,LV7,9,2,0,520
Yanmega,LV7,10,0,1,520
Yanmega,LV7,10,1,0,520
Yanmega,LV6.5,11,14,15,520
Yanmega,LV6.5,11,15,14,520
Yanmega,LV6.5,12,14,13,520
Yanmega,LV6.5,12,15,12,520
Yanmega,LV6.5,13,11,15,520
Yanmega,LV6.5,13,12,14,520
Yanmega,LV6.5,13,13,13,520
Yanmega,LV6.5,13,15,10,520
Yanmega,LV6.5,14,10,15,520
Yanmega,LV6.5,14,12,12,520
Yanmega,LV6.5,14,13,11,520
Yanmega,LV6.5,14,14,10,520
Yanmega,LV6.5,15,9,14,520
Yanmega,LV6.5,15,10,13,520
Yanmega,LV6.5,15,11,12,520
Yanmega,LV6.5,15,13,9,520
Yanmega,LV6.5,15,14,8,520
Yanmega,LV6.5,15,15,7,520
