Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Zigzagoon,LV50,9,13,14,520
Zigzagoon,LV50,9,14,13,520
Zigzagoon,LV49.5,9,15,13,520
Zigzagoon,LV50,10,11,13,520
Zigzagoon,LV49,10,12,15,520
Zigzagoon,LV49.5,10,13,12,520
Zigzagoon,LV48.5,10,13,15,520
Zigzagoon,LV50,10,14,9,520
Zigzagoon,LV49,10,14,12,520
Zigzagoon,LV48,10,14,15,520
Zigzagoon,LV49.5,10,15,9,520
Zigzagoon,LV48.5,10,15,12,520
Zigzagoon,LV48,10,15,14,520
Zigzagoon,LV50,11,7,15,520
Zigzagoon,LV49.5,11,8,15,520
Zigzagoon,LV50,11,9,12,520
Zigzagoon,LV49.5,11,9,14,520
Zigzagoon,LV50,11,10,11,520
Zigzagoon,LV49,11,10,14,520
Zigzagoon,LV49.5,11,11,11,520
Zigzagoon,LV48.5,11,11,14,520
Zigzagoon,LV50,11,12,8,520
Zigzagoon,LV49,11,12,11,520
Zigzagoon,LV48,11,12,14,520
Zigzagoon,LV49.5,11,13,8,520
Zigzagoon,LV48.5,11,13,11,520
Zigzagoon,LV49.5,11,14,7,520
Zigzagoon,LV48.5,11,14,10,520
Zigzagoon,LV47.5,11,14,13,520
Zigzagoon,LV50,11,15,4,520
Zigzagoon,LV49,11,15,7,520
Zigzagoon,LV48,11,15,10,520
Zigzagoon,LV47,11,15,13,520
Zigzagoon,LV50,12,6,13,520
Zigzagoon,LV49.5,12,7,13,520
Zigzagoon,LV50,12,8,10,520
Zigzagoon,LV49,12,8,13,520
Zigzagoon,LV49.5,12,9,10,520
Zigzagoon,LV48.5,12,9,13,520
Zigzagoon,LV50,12,10,7,520
Zigzagoon,LV49,12,10,10,520
Zigzagoon,LV47.5,12,10,15,520
Zigzagoon,LV50,12,11,6,520
Zigzagoon,LV49,12,11,9,520
Zigzagoon,LV48,12,11,12,520
Zigzagoon,LV47,12,11,15,520
Zigzagoon,LV49.5,12,12,6,520
Zigzagoon,LV48.5,12,12,9,520
Zigzagoon,LV47.5,12,12,12,520
Zigzagoon,LV46.5,12,12,15,520
Zigzagoon,LV49,12,13,6,520
Zigzagoon,LV48,12,13,9,520
Zigzagoon,LV47,12,13,12,520
Zigzagoon,LV50,12,14,2,520
Zigzagoon,LV49,12,14,5,520
Zigzagoon,LV47,12,14,11,520
Zigzagoon,LV46,12,14,14,520
Zigzagoon,LV49.5,12,15,2,520
Zigzagoon,LV48.5,12,15,5,520
Zigzagoon,LV47.5,12,15,8,520
Zigzagoon,LV46.5,12,15,11,520
Zigzagoon,LV45.5,12,15,14,520
Zigzagoon,LV50,13,3,14,520
Zigzagoon,LV49.5,13,4,14,520
Zigzagoon,LV50,13,5,11,520
Zigzagoon,LV49,13,5,14,520
Zigzagoon,LV49.5,13,6,11,520
Zigzagoon,LV48.5,13,6,14,520
Zigzagoon,LV50,13,7,8,520
Zigzagoon,LV49,13,7,11,520
Zigzagoon,LV48,13,7,14,520
Zigzagoon,LV49.5,13,8,8,520
Zigzagoon,LV48.5,13,8,11,520
Zigzagoon,LV47.5,13,8,14,520
Zigzagoon,LV50,13,9,5,520
Zigzagoon,LV49,13,9,8,520
Zigzagoon,LV48,13,9,11,520
Zigzagoon,LV47,13,9,14,520
Zigzagoon,LV49.5,13,10,5,520
Zigzagoon,LV48.5,13,10,8,520
Zigzagoon,LV47.5,13,10,11,520
Zigzagoon,LV49.5,13,11,4,520
Zigzagoon,LV48.5,13,11,7,520
Zigzagoon,LV47.5,13,11,10,520
Zigzagoon,LV46.5,13,11,13,520
Zigzagoon,LV50,13,12,1,520
Zigzagoon,LV49,13,12,4,520
Zigzagoon,LV48,13,12,7,520
Zigzagoon,LV47,13,12,10,520
Zigzagoon,LV46,13,12,13,520
Zigzagoon,LV50,13,13,0,520
Zigzagoon,LV48.5,13,13,4,520
Zigzagoon,LV47.5,13,13,7,520
Zigzagoon,LV46.5,13,13,10,520
Zigzagoon,LV45.5,13,13,13,520
Zigzagoon,LV45,13,13,15,520
Zigzagoon,LV49.5,13,14,0,520
Zigzagoon,LV48.5,13,14,3,520
Zigzagoon,LV45.5,13,14,12,520
