Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Zoroark Hisuian Form,LV8,0,0,11,520
Zoroark Hisuian Form,LV8,0,3,7,520
Zoroark Hisuian Form,LV8,0,4,6,520
Zoroark Hisuian Form,LV8,0,5,5,520
Zoroark Hisuian Form,LV7.5,0,15,15,520
Zoroark Hisuian Form,LV8,1,2,7,520
Zoroark Hisuian Form,LV8,1,3,6,520
Zoroark Hisuian Form,LV8,1,4,5,520
Zoroark Hisuian Form,LV7.5,1,14,15,520
Zoroark Hisuian Form,LV7.5,1,15,14,520
Zoroark Hisuian Form,LV8,2,1,7,520
Zoroark Hisuian Form,LV8,2,2,6,520
Zoroark Hisuian Form,LV8,2,3,5,520
Zoroark Hisuian Form,LV7.5,2,13,15,520
Zoroark Hisuian Form,LV7.5,2,14,14,520
Zoroark Hisuian Form,LV7.5,2,15,13,520
Zoroark Hisuian Form,LV8,3,0,7,520
Zoroark Hisuian Form,LV8,3,1,6,520
Zoroark Hisuian Form,LV8,3,2,5,520
Zoroark Hisuian Form,LV7.5,3,12,15,520
Zoroark Hisuian Form,LV7.5,3,13,14,520
Zoroark Hisuian Form,LV8,4,0,6,520
Zoroark Hisuian Form,LV8,4,1,5,520
Zoroark Hisuian Form,LV7.5,4,11,15,520
Zoroark Hisuian Form,LV8,5,0,5,520
Zoroark Hisuian Form,LV8,5,1,4,520
Zoroark Hisuian Form,LV7.5,5,10,15,520
Zoroark Hisuian Form,LV7.5,5,14,10,520
Zoroark Hisuian Form,LV7.5,5,15,9,520
Zoroark Hisuian Form,LV8,6,0,4,520
Zoroark Hisuian Form,LV7.5,6,9,15,520
Zoroark Hisuian Form,LV7.5,6,12,11,520
Zoroark Hisuian Form,LV7.5,6,13,10,520
Zoroark Hisuian Form,LV7.5,6,14,9,520
Zoroark Hisuian Form,LV7.5,6,15,8,520
Zoroark Hisuian Form,LV7.5,7,8,15,520
Zoroark Hisuian Form,LV7.5,7,11,11,520
Zoroark Hisuian Form,LV7.5,7,12,10,520
Zoroark Hisuian Form,LV7.5,7,13,9,520
Zoroark Hisuian Form,LV7.5,7,14,8,520
Zoroark Hisuian Form,LV7.5,7,15,7,520
Zoroark Hisuian Form,LV7.5,8,10,11,520
Zoroark Hisuian Form,LV7.5,8,11,10,520
Zoroark Hisuian Form,LV7.5,8,12,9,520
Zoroark Hisuian Form,LV7.5,8,13,8,520
Zoroark Hisuian Form,LV7.5,8,14,7,520
Zoroark Hisuian Form,LV7.5,9,9,11,520
Zoroark Hisuian Form,LV7.5,9,10,10,520
Zoroark Hisuian Form,LV7.5,9,11,9,520
Zoroark Hisuian Form,LV7.5,9,12,8,520
Zoroark Hisuian Form,LV7.5,9,13,7,520
Zoroark Hisuian Form,LV7.5,10,5,15,520
Zoroark Hisuian Form,LV7.5,10,8,11,520
Zoroark Hisuian Form,LV7.5,10,9,10,520
Zoroark Hisuian Form,LV7.5,10,10,9,520
Zoroark Hisuian Form,LV7.5,10,11,8,520
Zoroark Hisuian Form,LV7.5,11,4,15,520
Zoroark Hisuian Form,LV7.5,11,7,11,520
Zoroark Hisuian Form,LV7.5,11,8,10,520
Zoroark Hisuian Form,LV7.5,11,9,9,520
Zoroark Hisuian Form,LV7.5,11,10,8,520
Zoroark Hisuian Form,LV7.5,12,3,15,520
Zoroark Hisuian Form,LV7.5,12,6,11,520
Zoroark Hisuian Form,LV7.5,12,7,10,520
Zoroark Hisuian Form,LV7.5,12,8,9,520
Zoroark Hisuian Form,LV7.5,12,9,8,520
Zoroark Hisuian Form,LV7.5,12,15,1,520
Zoroark Hisuian Form,LV7.5,13,2,15,520
Zoroark Hisuian Form,LV7.5,13,5,11,520
Zoroark Hisuian Form,LV7.5,13,6,10,520
Zoroark Hisuian Form,LV7.5,13,7,9,520
Zoroark Hisuian Form,LV7.5,13,8,8,520
Zoroark Hisuian Form,LV7.5,13,13,2,520
Zoroark Hisuian Form,LV7.5,13,14,1,520
Zoroark Hisuian Form,LV7.5,13,15,0,520
Zoroark Hisuian Form,LV7.5,14,1,15,520
Zoroark Hisuian Form,LV7.5,14,4,11,520
Zoroark Hisuian Form,LV7.5,14,5,10,520
Zoroark Hisuian Form,LV7.5,14,6,9,520
Zoroark Hisuian Form,LV7.5,14,7,8,520
Zoroark Hisuian Form,LV7.5,14,12,2,520
Zoroark Hisuian Form,LV7.5,14,13,1,520
Zoroark Hisuian Form,LV7.5,14,14,0,520
Zoroark Hisuian Form,LV7.5,15,0,15,520
Zoroark Hisuian Form,LV7.5,15,1,14,520
Zoroark Hisuian Form,LV7.5,15,3,11,520
Zoroark Hisuian Form,LV7.5,15,4,10,520
Zoroark Hisuian Form,LV7.5,15,5,9,520
Zoroark Hisuian Form,LV7.5,15,6,8,520
Zoroark Hisuian Form,LV7.5,15,11,2,520
Zoroark Hisuian Form,LV7.5,15,12,1,520
Zoroark Hisuian Form,LV7.5,15,13,0,520
