Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Zubat,LV45,0,0,2,520
Zubat,LV44,0,0,5,520
Zubat,LV43,0,0,8,520
Zubat,LV41.5,0,0,13,520
Zubat,LV43.5,0,1,5,520
Zubat,LV42.5,0,1,8,520
Zubat,LV41.5,0,1,11,520
Zubat,LV41,0,1,13,520
Zubat,LV44.5,0,2,0,520
Zubat,LV43.5,0,2,3,520
Zubat,LV42.5,0,2,6,520
Zubat,LV42,0,2,8,520
Zubat,LV41,0,2,11,520
Zubat,LV44,0,3,0,520
Zubat,LV43,0,3,3,520
Zubat,LV42,0,3,6,520
Zubat,LV40.5,0,3,11,520
Zubat,LV43.5,0,4,0,520
Zubat,LV42.5,0,4,3,520
Zubat,LV41.5,0,4,6,520
Zubat,LV40,0,4,11,520
Zubat,LV39.5,0,4,13,520
Zubat,LV39,0,4,15,520
Zubat,LV43,0,5,0,520
Zubat,LV42,0,5,3,520
Zubat,LV41,0,5,6,520
Zubat,LV40,0,5,9,520
Zubat,LV39.5,0,5,11,520
Zubat,LV39,0,5,13,520
Zubat,LV38.5,0,5,15,520
Zubat,LV42.5,0,6,0,520
Zubat,LV41.5,0,6,3,520
Zubat,LV40.5,0,6,6,520
Zubat,LV38,0,6,15,520
Zubat,LV42,0,7,0,520
Zubat,LV41,0,7,3,520
Zubat,LV40,0,7,6,520
Zubat,LV39.5,0,7,8,520
Zubat,LV41.5,0,8,0,520
Zubat,LV40.5,0,8,3,520
Zubat,LV39,0,8,8,520
Zubat,LV38.5,0,8,10,520
Zubat,LV38,0,8,12,520
Zubat,LV37.5,0,8,14,520
Zubat,LV41,0,9,0,520
Zubat,LV40,0,9,3,520
Zubat,LV37.5,0,9,12,520
Zubat,LV37,0,9,14,520
Zubat,LV40.5,0,10,0,520
Zubat,LV39.5,0,10,3,520
Zubat,LV39,0,10,5,520
Zubat,LV38.5,0,10,7,520
Zubat,LV40,0,11,0,520
Zubat,LV38,0,11,7,520
Zubat,LV37.5,0,11,9,520
Zubat,LV37,0,11,11,520
Zubat,LV36.5,0,11,13,520
Zubat,LV36,0,11,15,520
Zubat,LV39,0,12,2,520
Zubat,LV38.5,0,12,4,520
Zubat,LV38,0,13,4,520
Zubat,LV37.5,0,13,6,520
Zubat,LV37,0,13,8,520
Zubat,LV36.5,0,13,10,520
Zubat,LV36,0,13,12,520
Zubat,LV35.5,0,13,14,520
Zubat,LV38.5,0,14,1,520
Zubat,LV38,0,14,3,520
Zubat,LV37.5,0,15,3,520
Zubat,LV37,0,15,5,520
Zubat,LV36.5,0,15,7,520
Zubat,LV36,0,15,9,520
Zubat,LV35.5,0,15,11,520
Zubat,LV35,0,15,13,520
Zubat,LV34.5,0,15,15,520
Zubat,LV44,1,0,2,520
Zubat,LV43,1,0,5,520
Zubat,LV42,1,0,8,520
Zubat,LV41.5,1,0,10,520
